"condition","Participant","word","projection_fear_vs_calm"
"3",1,"calm",-24.183952331543
"3",1,"calm",-24.183952331543
"3",5,"calm",-24.183952331543
"3",5,"calm",-24.183952331543
"3",5,"calmer",-23.8406028747559
"3",3,"very relaxing",-23.7541542053223
"3",5,"comfortable",-23.0682506561279
"3",1,"confident",-21.6613159179688
"3",6,"confident",-21.6613159179688
"3",6,"peaceful",-19.7947292327881
"3",27,"peaceful",-19.7947292327881
"3",31,"excellent",-18.5030155181885
"3",27,"good",-16.2732162475586
"3",3,"amusing",-16.0088233947754
"3",3,"acceptable",-13.8677110671997
"2",9,"calm",-24.183952331543
"2",11,"calm",-24.183952331543
"2",19,"calm",-24.183952331543
"2",19,"calm",-24.183952331543
"2",21,"calm",-24.183952331543
"2",21,"calm",-24.183952331543
"2",22,"calm",-24.183952331543
"2",22,"calm",-24.183952331543
"2",36,"calm",-24.183952331543
"2",9,"pleasant",-23.5051326751709
"2",9,"pleasant",-23.5051326751709
"2",21,"pleasant",-23.5051326751709
"2",17,"comfortable",-23.0682506561279
"2",10,"calming",-21.9546051025391
"2",19,"happy",-21.6885185241699
"2",7,"good",-16.2732162475586
"2",8,"good",-16.2732162475586
"2",9,"good",-16.2732162475586
"2",17,"good",-16.2732162475586
"2",17,"good",-16.2732162475586
"2",19,"good",-16.2732162475586
"2",22,"good",-16.2732162475586
"2",35,"good",-16.2732162475586
"2",9,"liked",-15.8024892807007
"2",35,"liked",-15.8024892807007
"2",18,"positive",-15.5998163223267
"2",22,"comforting",-15.5107831954956
"2",22,"comforting",-15.5107831954956
"2",8,"cool",-15.112645149231
"1",13,"calm",-24.183952331543
"1",15,"calm",-24.183952331543
"1",26,"calm",-24.183952331543
"1",30,"calm",-24.183952331543
"1",37,"calm",-24.183952331543
"1",38,"calm",-24.183952331543
"1",38,"calm",-24.183952331543
"1",41,"calm",-24.183952331543
"1",41,"calm",-24.183952331543
"1",41,"calm",-24.183952331543
"1",15,"confident",-21.6613159179688
"1",41,"confident",-21.6613159179688
"1",26,"peaceful",-19.7947292327881
"1",32,"good",-16.2732162475586
"1",37,"good",-16.2732162475586
"1",4,"liked",-15.8024892807007
"1",41,"liked",-15.8024892807007
"1",45,"liked",-15.8024892807007
"1",15,"positive",-15.5998163223267
"1",20,"positive",-15.5998163223267
"1",37,"easier",-13.0797309875488
"1",38,"serene",-12.7290182113647
