"condition","Participant","word","projection_fear_vs_calm"
"3",3,"very relaxing",-0.210627250687631
"3",16,"relaxed",-0.202904528318961
"3",5,"comfortable",-0.202536444181921
"3",5,"calmer",-0.176327424137279
"3",6,"peaceful",-0.163641032738606
"3",27,"peaceful",-0.163641032738606
"3",1,"calm",-0.15163225538834
"3",1,"calm",-0.15163225538834
"3",5,"calm",-0.15163225538834
"3",5,"calm",-0.15163225538834
"2",7,"relaxed",-0.202904528318961
"2",9,"relaxed",-0.202904528318961
"2",19,"relaxed",-0.202904528318961
"2",21,"relaxed",-0.202904528318961
"2",39,"relaxed",-0.202904528318961
"2",17,"comfortable",-0.202536444181921
"2",22,"comforting",-0.185887841514953
"2",22,"comforting",-0.185887841514953
"2",9,"relaxing",-0.185067363457488
"2",10,"relaxing",-0.185067363457488
"2",10,"calming",-0.1831080936554
"2",9,"pleasant",-0.160629083554531
"2",9,"pleasant",-0.160629083554531
"2",21,"pleasant",-0.160629083554531
"2",9,"calm",-0.15163225538834
"2",11,"calm",-0.15163225538834
"2",19,"calm",-0.15163225538834
"2",19,"calm",-0.15163225538834
"2",21,"calm",-0.15163225538834
"2",21,"calm",-0.15163225538834
"2",22,"calm",-0.15163225538834
"2",22,"calm",-0.15163225538834
"2",36,"calm",-0.15163225538834
"1",32,"relaxed",-0.202904528318961
"1",32,"relax",-0.188639589546774
"1",32,"relax",-0.188639589546774
"1",38,"relax",-0.188639589546774
"1",4,"relaxing",-0.185067363457488
"1",15,"relaxing",-0.185067363457488
"1",20,"relaxing",-0.185067363457488
"1",20,"relaxing",-0.185067363457488
"1",26,"relaxing",-0.185067363457488
"1",26,"relaxing",-0.185067363457488
"1",30,"relaxing",-0.185067363457488
"1",30,"relaxing",-0.185067363457488
"1",37,"relaxing",-0.185067363457488
"1",26,"peaceful",-0.163641032738606
"1",37,"easier",-0.161289572171398
"1",38,"serene",-0.15380742758498
"1",13,"calm",-0.15163225538834
"1",15,"calm",-0.15163225538834
"1",26,"calm",-0.15163225538834
"1",30,"calm",-0.15163225538834
"1",37,"calm",-0.15163225538834
"1",38,"calm",-0.15163225538834
"1",38,"calm",-0.15163225538834
"1",41,"calm",-0.15163225538834
"1",41,"calm",-0.15163225538834
"1",41,"calm",-0.15163225538834
