Participant,condition,word,projection_fear_vs_calm
15,1,little_worried,14.088385581970215
15,1,calm,-24.18395233154297
15,1,relaxing,-8.645771026611328
15,1,confident,-21.66131591796875
15,1,positive,-15.59981632232666
37,1,nervous,11.433514595031738
37,1,good,-16.273216247558594
37,1,calm,-24.18395233154297
37,1,relaxing,-8.645771026611328
37,1,easier,-13.079730987548828
37,1,helpful,-10.813546180725098
37,1,helpful,-10.813546180725098
38,1,calm,-24.18395233154297
38,1,serene,-12.729018211364746
38,1,calm,-24.18395233154297
38,1,relax,-6.444060802459717
38,1,zen,-5.031804084777832
19,2,calm,-24.18395233154297
19,2,good,-16.273216247558594
19,2,relaxed,-6.717019557952881
19,2,engaged,-2.503713607788086
19,2,happy,-21.688518524169922
19,2,calm,-24.18395233154297
8,2,cool,-15.112645149230957
8,2,useful,-8.738964080810547
8,2,interesting,-6.7400431632995605
8,2,good,-16.273216247558594
39,2,relaxed,-6.717019557952881
39,2,tune_out,-8.020496368408203
39,2,tune_out,-8.020496368408203
7,2,relaxed,-6.717019557952881
7,2,good,-16.273216247558594
7,2,tune_out,-8.020496368408203
7,2,interesting,-6.7400431632995605
3,3,acceptable,-13.867711067199707
3,3,amusing,-16.00882339477539
3,3,very relaxing,-23.754154205322266
3,3,distracted,9.133995056152344
3,3,perfect,-8.283783912658691
32,1,relaxed,-6.717019557952881
32,1,relax,-6.444060802459717
32,1,good,-16.273216247558594
32,1,relax,-6.444060802459717
17,2,good,-16.273216247558594
17,2,comfortable,-23.06825065612793
17,2,good,-16.273216247558594
9,2,pleasant,-23.5051326751709
9,2,relaxing,-8.645771026611328
9,2,calm,-24.18395233154297
9,2,relaxed,-6.717019557952881
9,2,liked,-15.802489280700684
9,2,good,-16.273216247558594
9,2,pleasant,-23.5051326751709
22,2,calm,-24.18395233154297
22,2,tiresome,0.21142691373825073
22,2,comforting,-15.510783195495605
22,2,good,-16.273216247558594
22,2,monotonous,-0.7678015828132629
22,2,comforting,-15.510783195495605
22,2,calm,-24.18395233154297
5,3,very_nervous,11.255009651184082
5,3,extremely_nervous,11.316052436828613
5,3,calm,-24.18395233154297
5,3,less_anxious,6.703590393066406
5,3,comfortable,-23.06825065612793
5,3,trust,-10.600229263305664
5,3,calm,-24.18395233154297
5,3,calmer,-23.84060287475586
5,3,nervous,11.433514595031738
1,3,very_nervous,11.255009651184082
1,3,confident,-21.66131591796875
1,3,nervous,11.433514595031738
1,3,calm,-24.18395233154297
1,3,bothered,9.47230339050293
1,3,calm,-24.18395233154297
1,3,less_anxious,6.703590393066406
20,1,relaxing,-8.645771026611328
20,1,engaged,-2.503713607788086
20,1,relaxing,-8.645771026611328
20,1,positive,-15.59981632232666
26,1,relaxing,-8.645771026611328
26,1,calm,-24.18395233154297
26,1,relaxing,-8.645771026611328
26,1,effective,-6.920538902282715
26,1,peaceful,-19.794729232788086
26,1,distracted,9.133995056152344
45,1,liked,-15.802489280700684
45,1,like,-10.092098236083984
30,1,relaxing,-8.645771026611328
30,1,calm,-24.18395233154297
30,1,useful,-8.738964080810547
30,1,relaxing,-8.645771026611328
36,2,calm,-24.18395233154297
36,2,engaged,-2.503713607788086
18,2,positive,-15.59981632232666
31,3,excellent,-18.503015518188477
31,3,engaged,-2.503713607788086
27,3,good,-16.273216247558594
27,3,peaceful,-19.794729232788086
6,3,nervous,11.433514595031738
6,3,confident,-21.66131591796875
6,3,peaceful,-19.794729232788086
4,1,relaxing,-8.645771026611328
4,1,liked,-15.802489280700684
11,2,nervous,11.433514595031738
11,2,some_anxiety,7.40315055847168
11,2,calm,-24.18395233154297
11,2,tune_out,-8.020496368408203
16,3,relaxed,-6.717019557952881
16,3,fine,-3.2096762657165527
21,2,valuable,-12.719483375549316
21,2,calm,-24.18395233154297
21,2,calm,-24.18395233154297
21,2,pleasant,-23.5051326751709
21,2,distracted,9.133995056152344
21,2,helpful,-10.813546180725098
21,2,relaxed,-6.717019557952881
10,2,calming,-21.954605102539062
10,2,relaxing,-8.645771026611328
10,2,anxiety,9.829375267028809
10,2,trust,-10.600229263305664
10,2,distracted,9.133995056152344
10,2,engaged,-2.503713607788086
41,1,nervous,11.433514595031738
41,1,calm,-24.18395233154297
41,1,calm,-24.18395233154297
41,1,confident,-21.66131591796875
41,1,distracted,9.133995056152344
41,1,little_bothered,10.11772346496582
41,1,calm,-24.18395233154297
41,1,liked,-15.802489280700684
13,1,calm,-24.18395233154297
35,2,good,-16.273216247558594
35,2,repetitive,8.05908203125
35,2,liked,-15.802489280700684
