Participant,condition,mean_projection_fear_vs_calm,word_list
15,1,-11.200494003295898,"['little_worried', 'calm', 'relaxing', 'confident', 'positive']"
37,1,-10.339464051382881,"['nervous', 'good', 'calm', 'relaxing', 'easier', 'helpful', 'helpful']"
38,1,-14.514557552337646,"['calm', 'serene', 'calm', 'relax', 'zen']"
19,2,-15.92506210009257,"['calm', 'good', 'relaxed', 'engaged', 'happy', 'calm']"
8,2,-11.716217160224915,"['cool', 'useful', 'interesting', 'good']"
39,2,-7.586004098256429,"['relaxed', 'tune_out', 'tune_out']"
7,2,-9.43769383430481,"['relaxed', 'good', 'tune_out', 'interesting']"
3,3,-10.556095504760743,"['acceptable', 'amusing', 'very relaxing', 'distracted', 'perfect']"
32,1,-8.969589352607727,"['relaxed', 'relax', 'good', 'relax']"
17,2,-18.538227717081707,"['good', 'comfortable', 'good']"
9,2,-16.94753054210118,"['pleasant', 'relaxing', 'calm', 'relaxed', 'liked', 'good', 'pleasant']"
22,2,-13.745580281530108,"['calm', 'tiresome', 'comforting', 'good', 'monotonous', 'comforting', 'calm']"
5,3,-7.240980042351617,"['very_nervous', 'extremely_nervous', 'calm', 'less_anxious', 'comfortable', 'trust', 'calm', 'calmer', 'nervous']"
1,3,-4.452114650181362,"['very_nervous', 'confident', 'nervous', 'calm', 'bothered', 'calm', 'less_anxious']"
20,1,-8.84876799583435,"['relaxing', 'engaged', 'relaxing', 'positive']"
26,1,-9.84279457728068,"['relaxing', 'calm', 'relaxing', 'effective', 'peaceful', 'distracted']"
45,1,-12.947293758392334,"['liked', 'like']"
30,1,-12.553614616394043,"['relaxing', 'calm', 'useful', 'relaxing']"
36,2,-13.343832969665527,"['calm', 'engaged']"
18,2,-15.59981632232666,['positive']
31,3,-10.503364562988281,"['excellent', 'engaged']"
27,3,-18.03397274017334,"['good', 'peaceful']"
6,3,-10.0075101852417,"['nervous', 'confident', 'peaceful']"
4,1,-12.224130153656006,"['relaxing', 'liked']"
11,2,-3.3419458866119385,"['nervous', 'some_anxiety', 'calm', 'tune_out']"
16,3,-4.963347911834717,"['relaxed', 'fine']"
21,2,-13.284155913761683,"['valuable', 'calm', 'calm', 'pleasant', 'distracted', 'helpful', 'relaxed']"
10,2,-4.123491446177165,"['calming', 'relaxing', 'anxiety', 'trust', 'distracted', 'engaged']"
41,1,-9.916303634643555,"['nervous', 'calm', 'calm', 'confident', 'distracted', 'little_bothered', 'calm', 'liked']"
13,1,-24.18395233154297,['calm']
35,2,-8.00554116566976,"['good', 'repetitive', 'liked']"
