word,condition,x,y,frequency,point_size,label_size,alpha,x_plot,y_plot
acceptable,3,-13.867711,-5.111338,1,80.0,7.0,0.55,-13.927711067199708,-5.2152611870344545
amusing,3,-16.008823,0.48317814,1,80.0,7.0,0.55,-16.06882339477539,0.3792550902787776
anxiety,2,9.829375,14.949022,1,80.0,7.0,0.55,9.769375267028808,15.052945341544953
bothered,3,9.472303,-7.552066,1,80.0,7.0,0.55,9.41230339050293,-7.6559888977583315
calm,1,-24.183952,11.11737,10,300.0,11.0,0.9,-24.063952331542968,11.117369651794434
calm,2,-24.183952,11.11737,9,275.55555555555554,10.555555555555555,0.8611111111111112,-24.243952331542967,11.221292700248567
calm,3,-24.183952,11.11737,4,153.33333333333331,8.333333333333334,0.6666666666666667,-24.243952331542967,11.0134466033403
calmer,3,-23.840603,6.728787,1,80.0,7.0,0.55,-23.900602874755858,6.624863896888885
calming,2,-21.954605,1.7193176,1,80.0,7.0,0.55,-22.01460510253906,1.823240603881684
comfortable,2,-23.068249,4.777051,1,80.0,7.0,0.55,-23.128248748779296,4.8809740204389955
comfortable,3,-23.06825,4.777051,1,80.0,7.0,0.55,-23.12825065612793,4.673127923530731
comforting,2,-15.510783,-4.7122345,2,104.44444444444444,7.444444444444445,0.5888888888888889,-15.570783195495606,-4.60831144861618
confident,1,-21.661318,10.484449,2,104.44444444444444,7.444444444444445,0.5888888888888889,-21.541317825317382,10.48444938659668
confident,3,-21.661318,10.484449,2,104.44444444444444,7.444444444444445,0.5888888888888889,-21.72131782531738,10.380526338142547
cool,2,-15.112643,-4.033158,1,80.0,7.0,0.55,-15.172643241882325,-3.929234777015838
distracted,1,9.133994,-5.1044173,2,104.44444444444444,7.444444444444445,0.5888888888888889,9.253994102478027,-5.104417324066162
distracted,2,9.133994,-5.1044173,2,104.44444444444444,7.444444444444445,0.5888888888888889,9.073994102478027,-5.00049427561203
distracted,3,9.133994,-5.1044173,1,80.0,7.0,0.55,9.073994102478027,-5.208340372520294
easier,1,-13.079731,-7.223305,1,80.0,7.0,0.55,-12.959730987548829,-7.2233052253723145
effective,1,-6.92054,-5.207911,1,80.0,7.0,0.55,-6.800539855957031,-5.207911014556885
engaged,1,-2.5037138,-9.092917,1,80.0,7.0,0.55,-2.383713846206665,-9.092917442321777
engaged,2,-2.5037138,-9.092917,3,128.88888888888889,7.888888888888889,0.6277777777777778,-2.563713846206665,-8.988994393867644
engaged,3,-2.5037136,-9.092917,1,80.0,7.0,0.55,-2.563713607788086,-9.19684049077591
excellent,3,-18.503014,6.1583996,1,80.0,7.0,0.55,-18.563013610839842,6.054476533455047
extremely_nervous,3,11.316052,17.179008,1,80.0,7.0,0.55,11.256052436828613,17.075085435432587
fine,3,-3.2096763,-10.090944,1,80.0,7.0,0.55,-3.269676265716553,-10.194867338615266
good,1,-16.273216,-3.191987,2,104.44444444444444,7.444444444444445,0.5888888888888889,-16.153216247558593,-3.1919870376586914
good,2,-16.273216,-3.191987,8,251.11111111111111,10.11111111111111,0.8222222222222222,-16.333216247558592,-3.0880639892045587
good,3,-16.273216,-3.191987,1,80.0,7.0,0.55,-16.333216247558592,-3.295910086112824
happy,2,-21.688519,10.013988,1,80.0,7.0,0.55,-21.74851852416992,10.117910589652864
helpful,1,-10.813546,-8.799769,2,104.44444444444444,7.444444444444445,0.5888888888888889,-10.693546180725098,-8.799769401550293
helpful,2,-10.813546,-8.799769,1,80.0,7.0,0.55,-10.873546180725098,-8.69584635309616
interesting,2,-6.740043,7.49114,2,104.44444444444444,7.444444444444445,0.5888888888888889,-6.80004316329956,7.59506293721756
