Participant,condition,word,projection_fear_vs_calm
15,1,bit_worried,0.1112735232505735
15,1,calm,-0.15163225538834038
15,1,relaxing,-0.18506736345748762
15,1,confident,-0.12672234023568238
15,1,positive,-0.1277159004999294
37,1,nervous,0.14208679526742285
37,1,good,-0.1299167122255883
37,1,calm,-0.15163225538834038
37,1,relaxing,-0.18506736345748762
37,1,easier,-0.1612895721713983
37,1,helpful,-0.10621047061529956
37,1,helpful,-0.10621047061529956
38,1,calm,-0.15163225538834038
38,1,serene,-0.15380742758497962
38,1,calm,-0.15163225538834038
38,1,relax,-0.1886395895467741
38,1,zen,-0.09516537299152594
19,2,calm,-0.15163225538834038
19,2,good,-0.1299167122255883
19,2,relaxed,-0.20290452831896055
19,2,engaged,0.011937575846955545
19,2,happy,-0.10473221930810449
19,2,calm,-0.15163225538834038
8,2,cool,-0.09727383333133392
8,2,useful,-0.07971924049108203
8,2,interesting,-0.0014092129136929175
8,2,good,-0.1299167122255883
39,2,relaxed,-0.20290452831896055
39,2,tune_out,-0.019094026519279664
39,2,tune_out,-0.019094026519279664
7,2,relaxed,-0.20290452831896055
7,2,good,-0.1299167122255883
7,2,tune_out,-0.019094026519279664
7,2,interesting,-0.0014092129136929175
3,3,acceptable,-0.07733166732317455
3,3,amusing,-0.0434395384035436
3,3,very relaxing,-0.21062725068763133
3,3,distracted,0.06497403087997705
3,3,perfect,-0.07708106583738175
32,1,relaxed,-0.20290452831896055
32,1,relax,-0.1886395895467741
32,1,good,-0.1299167122255883
32,1,relax,-0.1886395895467741
17,2,good,-0.1299167122255883
17,2,comfortable,-0.20253644418192102
17,2,good,-0.1299167122255883
9,2,pleasant,-0.16062908355453126
9,2,relaxing,-0.18506736345748762
9,2,calm,-0.15163225538834038
9,2,relaxed,-0.20290452831896055
9,2,liked,-0.14655764739436433
9,2,good,-0.1299167122255883
9,2,pleasant,-0.16062908355453126
22,2,calm,-0.15163225538834038
22,2,tiresome,0.11353659036212906
22,2,comforting,-0.185887841514953
22,2,good,-0.1299167122255883
22,2,monotonous,0.05506879065181227
22,2,comforting,-0.185887841514953
22,2,calm,-0.15163225538834038
5,3,very_nervous,0.1676606053809733
5,3,extremely_nervous,0.18797828606647474
5,3,calm,-0.15163225538834038
5,3,less_anxious,-0.14100090373365368
5,3,comfortable,-0.20253644418192102
5,3,trust,-0.09431867362916435
5,3,calm,-0.15163225538834038
5,3,calmer,-0.1763274241372786
5,3,nervous,0.14208679526742285
1,3,very_nervous,0.1676606053809733
1,3,confident,-0.12672234023568238
1,3,nervous,0.14208679526742285
1,3,calm,-0.15163225538834038
1,3,bothered,0.08576218595201056
1,3,calm,-0.15163225538834038
1,3,less_anxious,-0.14100090373365368
20,1,relaxing,-0.18506736345748762
20,1,engaged,0.011937575846955545
20,1,relaxing,-0.18506736345748762
20,1,positive,-0.1277159004999294
26,1,relaxing,-0.18506736345748762
26,1,calm,-0.15163225538834038
26,1,relaxing,-0.18506736345748762
26,1,effective,-0.08626692900227134
26,1,peaceful,-0.1636410327386055
26,1,distracted,0.06497403087997705
45,1,liked,-0.14655764739436433
45,1,like,-0.14655764739436433
30,1,relaxing,-0.18506736345748762
30,1,calm,-0.15163225538834038
30,1,useful,-0.07971924049108203
30,1,relaxing,-0.18506736345748762
36,2,calm,-0.15163225538834038
36,2,engaged,0.011937575846955545
18,2,positive,-0.1277159004999294
31,3,excellent,-0.07878544142192255
31,3,engaged,0.011937575846955545
27,3,good,-0.1299167122255883
27,3,peaceful,-0.1636410327386055
6,3,nervous,0.14208679526742285
6,3,confident,-0.12672234023568238
6,3,peaceful,-0.1636410327386055
4,1,relaxing,-0.18506736345748762
4,1,liked,-0.14655764739436433
11,2,nervous,0.14208679526742285
11,2,some_anxiety,0.1263235986276488
11,2,calm,-0.15163225538834038
11,2,tune_out,-0.019094026519279664
16,3,relaxed,-0.20290452831896055
16,3,fine,-0.1392366853060873
21,2,valuable,-0.04287176693951786
21,2,calm,-0.15163225538834038
21,2,calm,-0.15163225538834038
21,2,pleasant,-0.16062908355453126
21,2,distracted,0.06497403087997705
21,2,helpful,-0.10621047061529956
21,2,relaxed,-0.20290452831896055
10,2,calming,-0.1831080936554004
10,2,relaxing,-0.18506736345748762
10,2,anxiety,0.1496385750500908
10,2,trust,-0.09431867362916435
10,2,distracted,0.06497403087997705
10,2,engaged,0.011937575846955545
41,1,nervous,0.14208679526742285
41,1,calm,-0.15163225538834038
41,1,calm,-0.15163225538834038
41,1,confident,-0.12672234023568238
41,1,distracted,0.06497403087997705
41,1,bit_bothered,0.10334400833090326
41,1,calm,-0.15163225538834038
41,1,liked,-0.14655764739436433
13,1,calm,-0.15163225538834038
35,2,good,-0.1299167122255883
35,2,repetitive,0.04520197767906801
35,2,liked,-0.14655764739436433
