Participant,condition,mean_projection_fear_vs_calm,word_list
15,1,-0.09597286726617327,"['bit_worried', 'calm', 'relaxing', 'confident', 'positive']"
37,1,-0.09974857845799869,"['nervous', 'good', 'calm', 'relaxing', 'easier', 'helpful', 'helpful']"
38,1,-0.14817538017999207,"['calm', 'serene', 'calm', 'relax', 'zen']"
19,2,-0.1214800657970631,"['calm', 'good', 'relaxed', 'engaged', 'happy', 'calm']"
8,2,-0.0770797497404243,"['cool', 'useful', 'interesting', 'good']"
39,2,-0.08036419378583996,"['relaxed', 'tune_out', 'tune_out']"
7,2,-0.08833111999438036,"['relaxed', 'good', 'tune_out', 'interesting']"
3,3,-0.06870109827435085,"['acceptable', 'amusing', 'very relaxing', 'distracted', 'perfect']"
32,1,-0.17752510490952425,"['relaxed', 'relax', 'good', 'relax']"
17,2,-0.15412328954436585,"['good', 'comfortable', 'good']"
9,2,-0.1624766676991148,"['pleasant', 'relaxing', 'calm', 'relaxed', 'liked', 'good', 'pleasant']"
22,2,-0.09090736071689053,"['calm', 'tiresome', 'comforting', 'good', 'monotonous', 'comforting', 'calm']"
5,3,-0.04663580774931417,"['very_nervous', 'extremely_nervous', 'calm', 'less_anxious', 'comfortable', 'trust', 'calm', 'calmer', 'nervous']"
1,3,-0.02506830973508716,"['very_nervous', 'confident', 'nervous', 'calm', 'bothered', 'calm', 'less_anxious']"
20,1,-0.12147826289198727,"['relaxing', 'engaged', 'relaxing', 'positive']"
26,1,-0.11778348552736924,"['relaxing', 'calm', 'relaxing', 'effective', 'peaceful', 'distracted']"
45,1,-0.14655764739436433,"['liked', 'like']"
30,1,-0.15037155569859942,"['relaxing', 'calm', 'useful', 'relaxing']"
36,2,-0.06984733977069242,"['calm', 'engaged']"
18,2,-0.1277159004999294,['positive']
31,3,-0.033423932787483505,"['excellent', 'engaged']"
27,3,-0.1467788724820969,"['good', 'peaceful']"
6,3,-0.049425525902288346,"['nervous', 'confident', 'peaceful']"
4,1,-0.16581250542592596,"['relaxing', 'liked']"
11,2,0.024421027996862903,"['nervous', 'some_anxiety', 'calm', 'tune_out']"
16,3,-0.17107060681252392,"['relaxed', 'fine']"
21,2,-0.10727233276071614,"['valuable', 'calm', 'calm', 'pleasant', 'distracted', 'helpful', 'relaxed']"
10,2,-0.03932399149417149,"['calming', 'relaxing', 'anxiety', 'trust', 'distracted', 'engaged']"
41,1,-0.05222148991459559,"['nervous', 'calm', 'calm', 'confident', 'distracted', 'bit_bothered', 'calm', 'liked']"
13,1,-0.15163225538834038,['calm']
35,2,-0.07709079398029488,"['good', 'repetitive', 'liked']"
