"Participant","condition","n_words","distress_outliers","non_distress_words","distress_prop"
1,"3",7,3,4,0.428571428571429
3,"3",5,0,5,0
5,"3",9,3,6,0.333333333333333
6,"3",3,1,2,0.333333333333333
16,"3",2,0,2,0
27,"3",2,0,2,0
31,"3",2,0,2,0
4,"1",2,0,2,0
13,"1",1,0,1,0
15,"1",5,0,5,0
20,"1",4,0,4,0
26,"1",6,0,6,0
30,"1",4,0,4,0
32,"1",4,0,4,0
37,"1",7,1,6,0.142857142857143
38,"1",5,0,5,0
41,"1",8,1,7,0.125
45,"1",2,0,2,0
7,"2",4,0,4,0
8,"2",4,0,4,0
9,"2",7,0,7,0
10,"2",6,1,5,0.166666666666667
11,"2",4,2,2,0.5
17,"2",3,0,3,0
18,"2",1,0,1,0
19,"2",6,0,6,0
21,"2",7,0,7,0
22,"2",7,0,7,0
35,"2",3,0,3,0
36,"2",2,0,2,0
39,"2",3,0,3,0
