"condition","Participant","word","projection_fear_vs_calm"
"3",5,"comfortable",-0.439551323652267
"3",16,"relaxed",-0.396539956331253
"3",6,"peaceful",-0.394540250301361
"3",27,"peaceful",-0.394540250301361
"3",3,"very relaxing",-0.3944231569767
"3",1,"calm",-0.379319608211517
"3",1,"calm",-0.379319608211517
"3",5,"calm",-0.379319608211517
"3",5,"calm",-0.379319608211517
"3",5,"calmer",-0.313729822635651
"2",17,"comfortable",-0.439551323652267
"2",7,"relaxed",-0.396539956331253
"2",9,"relaxed",-0.396539956331253
"2",19,"relaxed",-0.396539956331253
"2",21,"relaxed",-0.396539956331253
"2",39,"relaxed",-0.396539956331253
"2",9,"relaxing",-0.389209538698196
"2",10,"relaxing",-0.389209538698196
"2",22,"comforting",-0.381233096122742
"2",22,"comforting",-0.381233096122742
"2",9,"calm",-0.379319608211517
"2",11,"calm",-0.379319608211517
"2",19,"calm",-0.379319608211517
"2",19,"calm",-0.379319608211517
"2",21,"calm",-0.379319608211517
"2",21,"calm",-0.379319608211517
"2",22,"calm",-0.379319608211517
"2",22,"calm",-0.379319608211517
"2",36,"calm",-0.379319608211517
"2",10,"calming",-0.370537996292114
"1",32,"relaxed",-0.396539956331253
"1",26,"peaceful",-0.394540250301361
"1",4,"relaxing",-0.389209538698196
"1",15,"relaxing",-0.389209538698196
"1",20,"relaxing",-0.389209538698196
"1",20,"relaxing",-0.389209538698196
"1",26,"relaxing",-0.389209538698196
"1",26,"relaxing",-0.389209538698196
"1",30,"relaxing",-0.389209538698196
"1",30,"relaxing",-0.389209538698196
"1",37,"relaxing",-0.389209538698196
"1",38,"serene",-0.381531536579132
"1",13,"calm",-0.379319608211517
"1",15,"calm",-0.379319608211517
"1",26,"calm",-0.379319608211517
"1",30,"calm",-0.379319608211517
"1",37,"calm",-0.379319608211517
"1",38,"calm",-0.379319608211517
"1",38,"calm",-0.379319608211517
"1",41,"calm",-0.379319608211517
"1",41,"calm",-0.379319608211517
"1",41,"calm",-0.379319608211517
"1",32,"relax",-0.358383178710938
"1",32,"relax",-0.358383178710938
"1",38,"relax",-0.358383178710938
