Participant,condition,word,projection_fear_vs_calm
15,1,little_worried,17.4545955657959
15,1,calm,-22.889326095581055
15,1,relaxing,-11.477221488952637
15,1,confident,-19.413713455200195
15,1,positive,-15.441206932067871
38,1,calm,-22.889326095581055
38,1,serene,-14.809798240661621
38,1,calm,-22.889326095581055
38,1,relax,-9.713451385498047
38,1,zen,-6.302755355834961
19,2,calm,-22.889326095581055
19,2,good,-17.089298248291016
19,2,relaxed,-9.564462661743164
19,2,engaged,-4.8988518714904785
19,2,happy,-21.092178344726562
19,2,calm,-22.889326095581055
8,2,cool,-16.683496475219727
8,2,useful,-10.881340980529785
8,2,interesting,-4.153687953948975
8,2,good,-17.089298248291016
7,2,relaxed,-9.564462661743164
7,2,good,-17.089298248291016
7,2,tune_out,-12.173208236694336
7,2,interesting,-4.153687953948975
3,3,acceptable,-14.401796340942383
3,3,amusing,-16.402938842773438
3,3,very relaxing,-22.89914894104004
3,3,distracted,6.104781627655029
3,3,perfect,-9.426262855529785
32,1,relaxed,-9.564462661743164
32,1,relax,-9.713451385498047
32,1,good,-17.089298248291016
32,1,relax,-9.713451385498047
17,2,good,-17.089298248291016
17,2,comfortable,-21.074600219726562
17,2,good,-17.089298248291016
9,2,pleasant,-23.011512756347656
9,2,relaxing,-11.477221488952637
9,2,calm,-22.889326095581055
9,2,relaxed,-9.564462661743164
9,2,liked,-16.404081344604492
9,2,good,-17.089298248291016
9,2,pleasant,-23.011512756347656
22,2,calm,-22.889326095581055
22,2,tiresome,-4.218377590179443
22,2,comforting,-14.561392784118652
22,2,good,-17.089298248291016
22,2,monotonous,-3.5736796855926514
22,2,comforting,-14.561392784118652
22,2,calm,-22.889326095581055
5,3,very_nervous,17.531482696533203
5,3,extremely_nervous,18.27435874938965
5,3,calm,-22.889326095581055
5,3,less_anxious,13.692754745483398
5,3,comfortable,-21.074600219726562
5,3,trust,-11.78114128112793
5,3,calm,-22.889326095581055
5,3,calmer,-23.498794555664062
5,3,nervous,18.42488670349121
1,3,very_nervous,17.531482696533203
1,3,confident,-19.413713455200195
1,3,nervous,18.42488670349121
1,3,calm,-22.889326095581055
1,3,bothered,5.465427398681641
1,3,calm,-22.889326095581055
1,3,less_anxious,13.692754745483398
20,1,relaxing,-11.477221488952637
20,1,engaged,-4.8988518714904785
20,1,relaxing,-11.477221488952637
20,1,positive,-15.441206932067871
26,1,relaxing,-11.477221488952637
26,1,calm,-22.889326095581055
26,1,relaxing,-11.477221488952637
26,1,effective,-9.270902633666992
26,1,peaceful,-19.644073486328125
26,1,distracted,6.104781627655029
45,1,liked,-16.404081344604492
45,1,like,-11.236054420471191
30,1,relaxing,-11.477221488952637
30,1,calm,-22.889326095581055
30,1,useful,-10.881340980529785
30,1,relaxing,-11.477221488952637
36,2,calm,-22.889326095581055
36,2,engaged,-4.8988518714904785
18,2,positive,-15.441206932067871
31,3,excellent,-17.114421844482422
31,3,engaged,-4.8988518714904785
27,3,good,-17.089298248291016
27,3,peaceful,-19.644073486328125
6,3,nervous,18.42488670349121
6,3,confident,-19.413713455200195
6,3,peaceful,-19.644073486328125
4,1,relaxing,-11.477221488952637
4,1,liked,-16.404081344604492
11,2,nervous,18.42488670349121
11,2,some_anxiety,14.08482837677002
11,2,calm,-22.889326095581055
11,2,tune_out,-12.173208236694336
16,3,relaxed,-9.564462661743164
16,3,fine,-7.322047233581543
21,2,valuable,-12.173575401306152
21,2,calm,-22.889326095581055
21,2,calm,-22.889326095581055
21,2,pleasant,-23.011512756347656
21,2,distracted,6.104781627655029
21,2,helpful,-12.108200073242188
21,2,relaxed,-9.564462661743164
10,2,calming,-21.845478057861328
10,2,relaxing,-11.477221488952637
10,2,anxiety,16.652252197265625
10,2,trust,-11.78114128112793
10,2,distracted,6.104781627655029
10,2,engaged,-4.8988518714904785
13,1,calm,-22.889326095581055
35,2,good,-17.089298248291016
35,2,repetitive,3.6381309032440186
35,2,liked,-16.404081344604492
