Participant,condition,mean_projection_fear_vs_calm,word_list
15,1,-10.353374481201172,"['little_worried', 'calm', 'relaxing', 'confident', 'positive']"
38,1,-15.320931434631348,"['calm', 'serene', 'calm', 'relax', 'zen']"
19,2,-16.40390721956889,"['calm', 'good', 'relaxed', 'engaged', 'happy', 'calm']"
8,2,-12.201955914497375,"['cool', 'useful', 'interesting', 'good']"
7,2,-10.745164275169373,"['relaxed', 'good', 'tune_out', 'interesting']"
3,3,-11.405073070526123,"['acceptable', 'amusing', 'very relaxing', 'distracted', 'perfect']"
32,1,-11.520165920257568,"['relaxed', 'relax', 'good', 'relax']"
17,2,-18.41773223876953,"['good', 'comfortable', 'good']"
9,2,-17.63534505026681,"['pleasant', 'relaxing', 'calm', 'relaxed', 'liked', 'good', 'pleasant']"
22,2,-14.25468475478036,"['calm', 'tiresome', 'comforting', 'good', 'monotonous', 'comforting', 'calm']"
5,3,-3.801078372531467,"['very_nervous', 'extremely_nervous', 'calm', 'less_anxious', 'comfortable', 'trust', 'calm', 'calmer', 'nervous']"
1,3,-1.439687728881836,"['very_nervous', 'confident', 'nervous', 'calm', 'bothered', 'calm', 'less_anxious']"
20,1,-10.823625445365906,"['relaxing', 'engaged', 'relaxing', 'positive']"
26,1,-11.44232726097107,"['relaxing', 'calm', 'relaxing', 'effective', 'peaceful', 'distracted']"
45,1,-13.820067882537842,"['liked', 'like']"
30,1,-14.181277513504028,"['relaxing', 'calm', 'useful', 'relaxing']"
36,2,-13.894088983535767,"['calm', 'engaged']"
18,2,-15.441206932067871,['positive']
31,3,-11.00663685798645,"['excellent', 'engaged']"
27,3,-18.36668586730957,"['good', 'peaceful']"
6,3,-6.877633412679036,"['nervous', 'confident', 'peaceful']"
4,1,-13.940651416778564,"['relaxing', 'liked']"
11,2,-0.63820481300354,"['nervous', 'some_anxiety', 'calm', 'tune_out']"
16,3,-8.443254947662354,"['relaxed', 'fine']"
21,2,-13.79023163659232,"['valuable', 'calm', 'calm', 'pleasant', 'distracted', 'helpful', 'relaxed']"
10,2,-4.540943145751953,"['calming', 'relaxing', 'anxiety', 'trust', 'distracted', 'engaged']"
13,1,-22.889326095581055,['calm']
35,2,-9.951749563217163,"['good', 'repetitive', 'liked']"
