word,x_plot,y_plot,label_size,alpha
acceptable,-14.4617972946167,-3.247138466316071,7.0,0.55
amusing,-16.462938842773436,3.203012738746795,7.0,0.55
anxiety,16.592252197265626,6.181099142509308,7.0,0.55
bothered,5.40542739868164,-10.722023214774934,7.0,0.55
calm,-22.889326095581055,14.613356272379557,11.0,0.9
calmer,-23.55879455566406,9.914019380134734,7.0,0.55
calming,-21.905478057861327,4.742567743736115,7.0,0.55
comfortable,-21.13460021972656,7.406129837036133,7.0,0.55
comforting,-14.621391830444336,-3.9766676764909357,7.5,0.59375
confident,-19.383713455200194,12.392495529911116,7.5,0.59375
cool,-16.743498382568358,-1.5438844304505914,7.0,0.55
distracted,6.104781150817871,-10.38622760772705,7.5,0.59375
effective,-9.150902633666993,-4.863357067108154,7.0,0.55
engaged,-4.8988518714904785,-9.527068138122559,8.0,0.6375000000000001
excellent,-17.17442184448242,9.151225839180144,7.0,0.55
extremely_nervous,18.21435874938965,7.791648660225067,7.0,0.55
fine,-7.3820472335815435,-10.519665922599641,7.0,0.55
good,-17.089298248291016,-0.29494741559028625,10.5,0.85625
happy,-21.152180252075194,13.825144018607942,7.0,0.55
helpful,-12.168200073242188,-7.221524034065399,7.0,0.55
interesting,-4.213687953948974,8.117693151908723,7.5,0.59375
less_anxious,13.632754745483398,6.423434529823456,7.5,0.59375
like,-11.116054420471192,-4.570905685424805,7.0,0.55
liked,-16.37408134460449,0.04271651972214727,7.5,0.59375
little_worried,17.5745955657959,0.8605908155441284,7.0,0.55
monotonous,-3.6336801624298096,-12.9265964370195,7.0,0.55
nervous,18.36488479614258,6.1156840324401855,8.0,0.6375000000000001
peaceful,-19.614073486328124,8.277449028751448,7.5,0.59375
perfect,-9.48626190185547,-3.549952234702912,7.0,0.55
pleasant,-23.071512756347655,8.851557936149446,8.0,0.6375000000000001
positive,-15.411206932067872,3.2722414562491613,7.5,0.59375
relax,-9.593451385498048,-15.88076114654541,8.0,0.6375000000000001
relaxed,-9.564462661743164,-15.72386360168457,8.5,0.68125
relaxing,-11.447221488952637,-15.09963168408592,10.5,0.85625
repetitive,3.5781311416625976,-9.381418023628386,7.0,0.55
serene,-14.689799194335938,-5.230310916900635,7.0,0.55
some_anxiety,14.024828376770019,5.272946562248078,7.0,0.55
tiresome,-4.278377590179443,-14.739053521675261,7.0,0.55
trust,-11.84114128112793,-0.6561564803123474,7.0,0.55
tune_out,-12.233208236694336,-13.003442559761199,7.5,0.59375
useful,-10.851340980529786,-6.03319157864769,7.0,0.55
valuable,-12.233575401306153,4.91861030049881,7.0,0.55
very relaxing,-22.95915084838867,5.846216950935516,7.0,0.55
very_nervous,17.471482696533204,6.182696614784393,7.5,0.59375
zen,-6.182755355834961,-6.370441913604736,7.0,0.55
