Participant,condition,word,projection_fear_vs_calm
15,1,bit_worried,-0.13587837781492285
15,1,calm,-0.8828467203775158
15,1,relaxing,-0.8818773692049191
15,1,confident,-1.1595053605411034
15,1,positive,-1.089504039367531
37,1,nervous,0.22079541889208215
37,1,good,-0.7787997772437038
37,1,calm,-0.8828467203775158
37,1,relaxing,-0.8818773692049191
37,1,easier,-0.7968892427273796
37,1,helpful,-0.7261358103757418
37,1,helpful,-0.7261358103757418
38,1,calm,-0.8828467203775158
38,1,serene,0.2680641874439695
38,1,calm,-0.8828467203775158
38,1,relax,-1.1260787922979945
38,1,zen,0.18092596307443706
19,2,calm,-0.8828467203775158
19,2,good,-0.7787997772437038
19,2,relaxed,-1.451629179937565
19,2,engaged,0.06830583876030871
19,2,happy,-0.4206411090227768
19,2,calm,-0.8828467203775158
8,2,cool,-0.6418325186006194
8,2,useful,-0.08541292196107175
8,2,interesting,0.4091180030911124
8,2,good,-0.7787997772437038
39,2,relaxed,-1.451629179937565
39,2,tune_out,-0.19798662422005384
39,2,tune_out,-0.19798662422005384
7,2,relaxed,-1.451629179937565
7,2,good,-0.7787997772437038
7,2,tune_out,-0.19798662422005384
7,2,interesting,0.4091180030911124
3,3,acceptable,0.1080512702045722
3,3,amusing,0.7419122986903596
3,3,very relaxing,-0.41295972120113505
3,3,distracted,0.051631053323898404
3,3,perfect,-0.27804136114033695
32,1,relaxed,-1.451629179937565
32,1,relax,-1.1260787922979945
32,1,good,-0.7787997772437038
32,1,relax,-1.1260787922979945
17,2,good,-0.7787997772437038
17,2,comfortable,-0.757865680607197
17,2,good,-0.7787997772437038
9,2,pleasant,-0.7755248043980663
9,2,relaxing,-0.8818773692049191
9,2,calm,-0.8828467203775158
9,2,relaxed,-1.451629179937565
9,2,liked,-0.3935505624960502
9,2,good,-0.7787997772437038
9,2,pleasant,-0.7755248043980663
22,2,calm,-0.8828467203775158
22,2,tiresome,0.9512740581448053
22,2,comforting,-0.12756378270861624
22,2,good,-0.7787997772437038
22,2,monotonous,0.6890701734053513
22,2,comforting,-0.12756378270861624
22,2,calm,-0.8828467203775158
5,3,very_nervous,0.13837666021405626
5,3,extremely_nervous,0.27405616855775244
5,3,calm,-0.8828467203775158
5,3,less_anxious,0.10284374339929177
5,3,comfortable,-0.757865680607197
5,3,trust,-0.8859071160225909
5,3,calm,-0.8828467203775158
5,3,calmer,-0.027877248508701682
5,3,nervous,0.22079541889208215
1,3,very_nervous,0.13837666021405626
1,3,confident,-1.1595053605411034
1,3,nervous,0.22079541889208215
1,3,calm,-0.8828467203775158
1,3,bothered,0.10476051735676009
1,3,calm,-0.8828467203775158
1,3,less_anxious,0.10284374339929177
20,1,relaxing,-0.8818773692049191
20,1,engaged,0.06830583876030871
20,1,relaxing,-0.8818773692049191
20,1,positive,-1.089504039367531
26,1,relaxing,-0.8818773692049191
26,1,calm,-0.8828467203775158
26,1,relaxing,-0.8818773692049191
26,1,effective,-1.1482288807983734
26,1,peaceful,-0.7956988212265129
26,1,distracted,0.051631053323898404
45,1,liked,-0.3935505624960502
45,1,like,-0.3935505624960502
30,1,relaxing,-0.8818773692049191
30,1,calm,-0.8828467203775158
30,1,useful,-0.08541292196107175
30,1,relaxing,-0.8818773692049191
36,2,calm,-0.8828467203775158
36,2,engaged,0.06830583876030871
18,2,positive,-1.089504039367531
31,3,excellent,-0.6532688870111706
31,3,engaged,0.06830583876030871
27,3,good,-0.7787997772437038
27,3,peaceful,-0.7956988212265129
6,3,nervous,0.22079541889208215
6,3,confident,-1.1595053605411034
6,3,peaceful,-0.7956988212265129
4,1,relaxing,-0.8818773692049191
4,1,liked,-0.3935505624960502
11,2,nervous,0.22079541889208215
11,2,some_anxiety,-0.006716898979528862
11,2,calm,-0.8828467203775158
11,2,tune_out,-0.19798662422005384
16,3,relaxed,-1.451629179937565
16,3,fine,-0.11878153472688978
21,2,valuable,0.12664934041691428
21,2,calm,-0.8828467203775158
21,2,calm,-0.8828467203775158
21,2,pleasant,-0.7755248043980663
21,2,distracted,0.051631053323898404
21,2,helpful,-0.7261358103757418
21,2,relaxed,-1.451629179937565
10,2,calming,-0.9759507398701276
10,2,relaxing,-0.8818773692049191
10,2,anxiety,0.42965445710571554
10,2,trust,-0.8859071160225909
10,2,distracted,0.051631053323898404
10,2,engaged,0.06830583876030871
41,1,nervous,0.22079541889208215
41,1,calm,-0.8828467203775158
41,1,calm,-0.8828467203775158
41,1,confident,-1.1595053605411034
41,1,distracted,0.051631053323898404
41,1,bit_bothered,0.06196866844644727
41,1,calm,-0.8828467203775158
41,1,liked,-0.3935505624960502
13,1,calm,-0.8828467203775158
35,2,good,-0.7787997772437038
35,2,repetitive,0.8537557554387641
35,2,liked,-0.3935505624960502
