Participant,condition,mean_projection_fear_vs_calm,word_list
15,1,-0.8299223734611985,"['bit_worried', 'calm', 'relaxing', 'confident', 'positive']"
37,1,-0.65312704448756,"['nervous', 'good', 'calm', 'relaxing', 'easier', 'helpful', 'helpful']"
38,1,-0.48855641650692394,"['calm', 'serene', 'calm', 'relax', 'zen']"
19,2,-0.7247429446997947,"['calm', 'good', 'relaxed', 'engaged', 'happy', 'calm']"
8,2,-0.27423180367857064,"['cool', 'useful', 'interesting', 'good']"
39,2,-0.6158674761258909,"['relaxed', 'tune_out', 'tune_out']"
7,2,-0.5048243945775525,"['relaxed', 'good', 'tune_out', 'interesting']"
3,3,0.042118707975471625,"['acceptable', 'amusing', 'very relaxing', 'distracted', 'perfect']"
32,1,-1.1206466354443143,"['relaxed', 'relax', 'good', 'relax']"
17,2,-0.7718217450315348,"['good', 'comfortable', 'good']"
9,2,-0.8485361740079836,"['pleasant', 'relaxing', 'calm', 'relaxed', 'liked', 'good', 'pleasant']"
22,2,-0.16561093598083018,"['calm', 'tiresome', 'comforting', 'good', 'monotonous', 'comforting', 'calm']"
5,3,-0.3001412772033709,"['very_nervous', 'extremely_nervous', 'calm', 'less_anxious', 'comfortable', 'trust', 'calm', 'calmer', 'nervous']"
1,3,-0.33691749449056346,"['very_nervous', 'confident', 'nervous', 'calm', 'bothered', 'calm', 'less_anxious']"
20,1,-0.696238234754265,"['relaxing', 'engaged', 'relaxing', 'positive']"
26,1,-0.7564830179147237,"['relaxing', 'calm', 'relaxing', 'effective', 'peaceful', 'distracted']"
45,1,-0.3935505624960502,"['liked', 'like']"
30,1,-0.6830035951871065,"['relaxing', 'calm', 'useful', 'relaxing']"
36,2,-0.40727044080860353,"['calm', 'engaged']"
18,2,-1.089504039367531,['positive']
31,3,-0.29248152412543094,"['excellent', 'engaged']"
27,3,-0.7872492992351083,"['good', 'peaceful']"
6,3,-0.5781362542918447,"['nervous', 'confident', 'peaceful']"
4,1,-0.6377139658504847,"['relaxing', 'liked']"
11,2,-0.21668870617125408,"['nervous', 'some_anxiety', 'calm', 'tune_out']"
16,3,-0.7852053573322273,"['relaxed', 'fine']"
21,2,-0.6486718345322274,"['valuable', 'calm', 'calm', 'pleasant', 'distracted', 'helpful', 'relaxed']"
10,2,-0.36569064598461914,"['calming', 'relaxing', 'anxiety', 'trust', 'distracted', 'engaged']"
41,1,-0.4834001179384091,"['nervous', 'calm', 'calm', 'confident', 'distracted', 'bit_bothered', 'calm', 'liked']"
13,1,-0.8828467203775158,['calm']
35,2,-0.1061981947669966,"['good', 'repetitive', 'liked']"
