Participant,condition,mean_projection_fear_vs_calm,word_list
15,1,-0.17758598029613495,"['little_worried', 'calm', 'relaxing', 'confident', 'positive']"
38,1,-0.44158167839050294,"['calm', 'serene', 'calm', 'relax', 'zen']"
19,2,-0.2949499860405922,"['calm', 'good', 'relaxed', 'engaged', 'happy', 'calm']"
8,2,-0.15741536393761635,"['cool', 'useful', 'interesting', 'good']"
7,2,-0.23703649453818798,"['relaxed', 'good', 'tune_out', 'interesting']"
3,3,-0.19910542517900467,"['acceptable', 'amusing', 'very relaxing', 'distracted', 'perfect']"
32,1,-0.3823063224554062,"['relaxed', 'relax', 'good', 'relax']"
17,2,-0.3180286188920339,"['good', 'comfortable', 'good']"
9,2,-0.32517693830387934,"['pleasant', 'relaxing', 'calm', 'relaxed', 'liked', 'good', 'pleasant']"
22,2,-0.2166092214839799,"['calm', 'tiresome', 'comforting', 'good', 'monotonous', 'comforting', 'calm']"
5,3,-0.06545595245228873,"['very_nervous', 'extremely_nervous', 'calm', 'less_anxious', 'comfortable', 'trust', 'calm', 'calmer', 'nervous']"
1,3,0.0340342851621764,"['very_nervous', 'confident', 'nervous', 'calm', 'bothered', 'calm', 'less_anxious']"
20,1,-0.27218689769506454,"['relaxing', 'engaged', 'relaxing', 'positive']"
26,1,-0.30946304090321064,"['relaxing', 'calm', 'relaxing', 'effective', 'peaceful', 'distracted']"
45,1,-0.10416985303163528,"['liked', 'like']"
30,1,-0.3798803295940161,"['relaxing', 'calm', 'useful', 'relaxing']"
36,2,-0.21736528724431992,"['calm', 'engaged']"
18,2,-0.1933232694864273,['positive']
31,3,-0.06340941786766052,"['excellent', 'engaged']"
27,3,-0.3612164705991745,"['good', 'peaceful']"
6,3,-0.047172377506891884,"['nervous', 'confident', 'peaceful']"
4,1,-0.28451086953282356,"['relaxing', 'liked']"
11,2,0.042801834642887115,"['nervous', 'some_anxiety', 'calm', 'tune_out']"
16,3,-0.3609481304883957,"['relaxed', 'fine']"
21,2,-0.2563957264646888,"['valuable', 'calm', 'calm', 'pleasant', 'distracted', 'helpful', 'relaxed']"
10,2,-0.0837633175154527,"['calming', 'relaxing', 'anxiety', 'trust', 'distracted', 'engaged']"
13,1,-0.46901002526283264,['calm']
35,2,-0.07964842021465302,"['good', 'repetitive', 'liked']"
