word,condition,x,y,frequency,point_size,label_size,alpha,x_plot,y_plot
acceptable,3,0.041675407,-0.24774967,1,80.0,7.0,0.55,0.041675407,-0.3516727197941213
amusing,3,0.01958992,-0.10583326,1,80.0,7.0,0.55,0.01958992,-0.20975631065925648
anxiety,2,0.21300565,-0.025947763,1,80.0,7.0,0.55,0.21300565,0.07797528580090102
bit_bothered,1,0.15655687,-0.16122091,1,80.0,7.0,0.55,0.15655687,-0.16122090816497803
bit_worried,1,0.14847477,-0.09499679,1,80.0,7.0,0.55,0.14847477,-0.09499678760766983
bothered,3,0.17661089,-0.17008102,1,80.0,7.0,0.55,0.17661089,-0.2740040678556829
calm,1,-0.18677576,0.36630324,10,300.0,11.0,0.9,-0.18677576,0.3663032352924347
calm,2,-0.18677576,0.36630324,9,275.55555555555554,10.555555555555555,0.8611111111111112,-0.18677576,0.47022628374656733
calm,3,-0.18677576,0.36630324,4,153.33333333333331,8.333333333333334,0.6666666666666667,-0.18677576,0.2623801868383021
calmer,3,-0.16347757,0.29356033,1,80.0,7.0,0.55,-0.16347757,0.18963727764526317
calming,2,-0.19704995,0.34749722,1,80.0,7.0,0.55,-0.19704995,0.4514202732618719
comfortable,2,-0.20869312,-0.017421626,1,80.0,7.0,0.55,-0.20869312,0.08650142289957102
comfortable,3,-0.20869312,-0.017421626,1,80.0,7.0,0.55,-0.20869312,-0.12134467400869421
comforting,2,-0.22878097,0.043793652,2,104.44444444444444,7.444444444444445,0.5888888888888889,-0.22878097,0.14771670066079196
confident,1,-0.017781937,-0.10874216,2,104.44444444444444,7.444444444444445,0.5888888888888889,-0.017781937,-0.10874216258525848
confident,3,-0.017781937,-0.10874216,2,104.44444444444444,7.444444444444445,0.5888888888888889,-0.017781937,-0.21266521103939107
cool,2,0.010462329,-0.122902,1,80.0,7.0,0.55,0.010462329,-0.018978950006160178
distracted,1,0.1519142,-0.09158839,2,104.44444444444444,7.444444444444445,0.5888888888888889,0.1519142,-0.09158839285373688
distracted,2,0.1519142,-0.09158839,2,104.44444444444444,7.444444444444445,0.5888888888888889,0.1519142,0.01233465560039576
distracted,3,0.1519142,-0.09158839,1,80.0,7.0,0.55,0.1519142,-0.19551144130786946
easier,1,-0.1559939,-0.1144567,1,80.0,7.0,0.55,-0.1559939,-0.11445669829845428
effective,1,-0.061034195,-0.26437017,1,80.0,7.0,0.55,-0.061034195,-0.2643701732158661
engaged,1,-0.010277449,-0.18874754,1,80.0,7.0,0.55,-0.010277449,-0.18874754011631012
engaged,2,-0.010277449,-0.18874754,3,128.88888888888889,7.888888888888889,0.6277777777777778,-0.010277449,-0.08482449166217748
engaged,3,-0.010277445,-0.18874754,1,80.0,7.0,0.55,-0.010277445,-0.2926705885704427
excellent,3,-0.043160122,-0.2814897,1,80.0,7.0,0.55,-0.043160122,-0.3854127485330968
extremely_nervous,3,0.23112507,-0.06891514,1,80.0,7.0,0.55,0.23112507,-0.17283819206317952
fine,3,-0.03330707,-0.17059958,1,80.0,7.0,0.55,-0.03330707,-0.2745226282652288
good,1,-0.09667276,-0.3344845,2,104.44444444444444,7.444444444444445,0.5888888888888889,-0.09667276,-0.3344844877719879
good,2,-0.09667276,-0.3344845,8,251.11111111111111,10.11111111111111,0.8222222222222222,-0.09667276,-0.23056143931785528
good,3,-0.09667276,-0.3344845,1,80.0,7.0,0.55,-0.09667276,-0.4384075362261205
happy,2,-0.09430385,-0.15024492,1,80.0,7.0,0.55,-0.09430385,-0.04632187299171392
helpful,1,-0.1259438,-0.26811254,2,104.44444444444444,7.444444444444445,0.5888888888888889,-0.1259438,-0.26811254024505615
helpful,2,-0.1259438,-0.26811254,1,80.0,7.0,0.55,-0.1259438,-0.16418949179092351
interesting,2,0.057346996,-0.26043227,2,104.44444444444444,7.444444444444445,0.5888888888888889,0.057346996,-0.15650922469535772
less_anxious,3,0.16821052,0.027923184,2,104.44444444444444,7.444444444444445,0.5888888888888889,0.16821052,-0.07599986493846468
like,1,-0.06764155,-0.37434763,1,80.0,7.0,0.55,-0.06764155,-0.37434762716293335
