word,condition,x,y,frequency,point_size,label_size,alpha,x_plot,y_plot
acceptable,3,-0.2328092,0.14060134,1,80.0,7.0,0.55,-0.29280920088291174,0.03667828850189157
amusing,3,-0.12074408,0.3021943,1,80.0,7.0,0.55,-0.18074407935142522,0.1982712488595576
anxiety,2,0.4981712,-0.14994717,1,80.0,7.0,0.55,0.43817121028900147,-0.046024117988738455
bothered,3,0.45925397,-0.043935314,1,80.0,7.0,0.55,0.39925396680831904,-0.1478583622749715
calm,1,-0.46901003,-0.3216195,6,217.5,9.5,0.76875,-0.34901002526283265,-0.32161951065063477
calm,2,-0.46901003,-0.3216195,9,300.0,11.0,0.9,-0.5290100252628326,-0.21769646219650213
calm,3,-0.46901,-0.3216195,4,162.5,8.5,0.68125,-0.5290099954605103,-0.42554255910476735
calmer,3,-0.38679412,-0.30471334,1,80.0,7.0,0.55,-0.44679412007331853,-0.4086363870676427
calming,2,-0.43402722,-0.32427064,1,80.0,7.0,0.55,-0.494027224779129,-0.22034758738914434
comfortable,2,-0.44478866,-0.0011015992,1,80.0,7.0,0.55,-0.5047886645793914,0.10282144926281717
comfortable,3,-0.44478866,-0.0011015992,1,80.0,7.0,0.55,-0.5047886645793915,-0.10502464764544807
comforting,2,-0.3197009,0.08177081,2,107.5,7.5,0.59375,-0.3797008967399597,0.18569385595878657
confident,1,-0.15897188,0.14376839,1,80.0,7.0,0.55,-0.038971875905990605,0.14376838505268097
confident,3,-0.15897188,0.14376839,2,107.5,7.5,0.59375,-0.21897187590599065,0.03984533659854837
cool,2,-0.3219995,0.04467976,1,80.0,7.0,0.55,-0.3819994902610779,0.148602809387055
distracted,1,0.06905129,-0.188209,1,80.0,7.0,0.55,0.18905128806829452,-0.18820899724960327
distracted,2,0.06905128,-0.188209,2,107.5,7.5,0.59375,0.009051280617713951,-0.08428594879547063
distracted,3,0.06905129,-0.188209,1,80.0,7.0,0.55,0.009051288068294472,-0.29213204570373585
effective,1,-0.05933138,0.26935613,1,80.0,7.0,0.55,0.060668620169162746,0.2693561315536499
engaged,1,0.03427945,-0.035878558,1,80.0,7.0,0.55,0.1542794507741928,-0.035878557711839676
engaged,2,0.03427945,-0.035878558,3,135.0,8.0,0.6375000000000001,-0.025720549225807167,0.06804449074229296
engaged,3,0.03427945,-0.035878558,1,80.0,7.0,0.55,-0.025720549225807243,-0.13980160616597226
excellent,3,-0.16109829,0.44415596,1,80.0,7.0,0.55,-0.2210982865095139,0.3402329128209681
extremely_nervous,3,0.5097241,-0.10288839,1,80.0,7.0,0.55,0.4497240805625915,-0.20681143887599995
fine,3,-0.28992313,0.257237,1,80.0,7.0,0.55,-0.3499231314659119,0.15331393889823863
good,1,-0.2546486,0.41850463,1,80.0,7.0,0.55,-0.1346485960483551,0.41850462555885315
good,2,-0.2546486,0.41850463,8,272.5,10.5,0.85625,-0.3146485960483551,0.5224276740129858
good,3,-0.2546486,0.41850463,1,80.0,7.0,0.55,-0.31464859604835516,0.31458157710472057
happy,2,-0.17933759,0.35209578,1,80.0,7.0,0.55,-0.23933759093284604,0.45601883121093806
helpful,2,-0.2329363,0.35730204,1,80.0,7.0,0.55,-0.292936292886734,0.4612250883158117
interesting,2,0.06779412,0.31055468,2,107.5,7.5,0.59375,0.007794121801853203,0.4144777316625982
less_anxious,3,-0.105478026,-0.2596589,2,107.5,7.5,0.59375,-0.16547802597284322,-0.36358195133766225
like,1,-0.10416984,0.44259828,1,80.0,7.0,0.55,0.015830161869525905,0.44259828329086304
liked,1,-0.10416984,0.44259828,2,107.5,7.5,0.59375,0.015830161869525905,0.44259828329086304
liked,2,-0.10416984,0.44259828,2,107.5,7.5,0.59375,-0.16416983813047406,0.5465213317449957
little_worried,1,0.39822713,-0.13853571,1,80.0,7.0,0.55,0.5182271254062653,-0.13853570818901062
monotonous,2,0.09061328,-0.122514606,1,80.0,7.0,0.55,0.0306132832169533,-0.018591557068023123
nervous,2,0.4852391,-0.141865,1,80.0,7.0,0.55,0.42523908853530884,-0.037941951674613394
nervous,3,0.48523912,-0.141865,3,135.0,8.0,0.6375000000000001,0.4252391183376312,-0.24578804858287862
peaceful,1,-0.46778435,-0.12067071,1,80.0,7.0,0.55,-0.3477843451499939,-0.12067071348428726
peaceful,3,-0.46778435,-0.12067071,2,107.5,7.5,0.59375,-0.527784345149994,-0.22459376193841984
perfect,3,-0.2666512,0.19507857,1,80.0,7.0,0.55,-0.32665121316909795,0.09115551821628519
pleasant,2,-0.27579254,0.3180056,3,135.0,8.0,0.6375000000000001,-0.33579253911972046,0.4219286400850683
positive,1,-0.19332327,0.40050083,2,107.5,7.5,0.59375,-0.07332326948642731,0.4005008339881897
positive,2,-0.19332327,0.40050083,1,80.0,7.0,0.55,-0.2533232694864273,0.5044238824423224
relax,1,-0.42130175,-0.16352536,3,135.0,8.0,0.6375000000000001,-0.3013017523288727,-0.16352535784244537
relaxed,1,-0.43197313,-0.09568594,1,80.0,7.0,0.55,-0.3119731295108795,-0.0956859365105629
relaxed,2,-0.43197313,-0.09568594,4,162.5,8.5,0.68125,-0.4919731295108795,0.008237111943569742
relaxed,3,-0.43197313,-0.09568594,1,80.0,7.0,0.55,-0.49197312951087957,-0.19960898496469548
relaxing,1,-0.46485192,-0.13933545,8,272.5,10.5,0.85625,-0.34485191583633423,-0.13933545351028442
relaxing,2,-0.46485192,-0.13933545,2,107.5,7.5,0.59375,-0.5248519158363342,-0.035412405056151786
repetitive,2,0.119873196,0.0022946259,1,80.0,7.0,0.55,0.05987319588661196,0.1062176743082523
serene,1,-0.48217538,-0.17699637,1,80.0,7.0,0.55,-0.3621753799915314,-0.1769963651895523
some_anxiety,2,0.48429665,-0.14141013,1,80.0,7.0,0.55,0.42429664969444275,-0.03748707882801
tiresome,2,0.2251926,0.013812973,1,80.0,7.0,0.55,0.16519260644912723,0.11773602161815461
trust,2,-0.20520277,0.10828324,1,80.0,7.0,0.55,-0.26520277321338653,0.212206285076943
trust,3,-0.20520277,0.10828324,1,80.0,7.0,0.55,-0.2652027732133866,0.004360188168677767
tune_out,2,-0.32931837,-0.21664351,2,107.5,7.5,0.59375,-0.3893183743953705,-0.11272046379486028
useful,1,-0.12080752,0.3529,1,80.0,7.0,0.55,-0.0008075210452079817,0.3528999984264374
