"condition","Participant","word","projection_fear_vs_calm"
"3",5,"comfortable",-0.373934602156628
"3",16,"relaxed",-0.340588967978229
"3",3,"very relaxing",-0.30999099380702
"3",6,"peaceful",-0.246822258277139
"3",27,"peaceful",-0.246822258277139
"3",5,"calmer",-0.233509485578356
"3",1,"calm",-0.207114335688291
"3",1,"calm",-0.207114335688291
"3",5,"calm",-0.207114335688291
"3",5,"calm",-0.207114335688291
"2",17,"comfortable",-0.373934602156628
"2",7,"relaxed",-0.340588967978229
"2",9,"relaxed",-0.340588967978229
"2",19,"relaxed",-0.340588967978229
"2",21,"relaxed",-0.340588967978229
"2",39,"relaxed",-0.340588967978229
"2",9,"relaxing",-0.316156750719055
"2",10,"relaxing",-0.316156750719055
"2",22,"comforting",-0.281827897240528
"2",22,"comforting",-0.281827897240528
"2",9,"pleasant",-0.274801650779341
"2",9,"pleasant",-0.274801650779341
"2",21,"pleasant",-0.274801650779341
"2",10,"calming",-0.244236144981027
"2",9,"liked",-0.217553123441199
"2",35,"liked",-0.217553123441199
"2",9,"calm",-0.207114335688291
"2",11,"calm",-0.207114335688291
"2",19,"calm",-0.207114335688291
"2",19,"calm",-0.207114335688291
"2",21,"calm",-0.207114335688291
"2",21,"calm",-0.207114335688291
"2",22,"calm",-0.207114335688291
"2",22,"calm",-0.207114335688291
"2",36,"calm",-0.207114335688291
"1",32,"relaxed",-0.340588967978229
"1",4,"relaxing",-0.316156750719055
"1",15,"relaxing",-0.316156750719055
"1",20,"relaxing",-0.316156750719055
"1",20,"relaxing",-0.316156750719055
"1",26,"relaxing",-0.316156750719055
"1",26,"relaxing",-0.316156750719055
"1",30,"relaxing",-0.316156750719055
"1",30,"relaxing",-0.316156750719055
"1",37,"relaxing",-0.316156750719055
"1",32,"relax",-0.306251246086859
"1",32,"relax",-0.306251246086859
"1",38,"relax",-0.306251246086859
"1",37,"easier",-0.261604850846205
"1",26,"peaceful",-0.246822258277139
"1",4,"liked",-0.217553123441199
"1",41,"liked",-0.217553123441199
"1",45,"like",-0.217553123441199
"1",45,"liked",-0.217553123441199
"1",13,"calm",-0.207114335688291
"1",15,"calm",-0.207114335688291
"1",26,"calm",-0.207114335688291
"1",30,"calm",-0.207114335688291
"1",37,"calm",-0.207114335688291
"1",38,"calm",-0.207114335688291
"1",38,"calm",-0.207114335688291
"1",41,"calm",-0.207114335688291
"1",41,"calm",-0.207114335688291
"1",41,"calm",-0.207114335688291
"1",38,"serene",-0.195523235142077
