Participant,condition,word,projection_fear_vs_calm
15,1,bit_worried,0.08738060866649536
15,1,calm,-0.2071143356882912
15,1,relaxing,-0.3161567507190547
15,1,confident,-0.14215104747491658
15,1,positive,-0.10805296342881628
37,1,nervous,0.16189280248565494
37,1,good,-0.17530454275104512
37,1,calm,-0.2071143356882912
37,1,relaxing,-0.3161567507190547
37,1,easier,-0.26160485084620494
37,1,helpful,-0.13407750312533798
37,1,helpful,-0.13407750312533798
38,1,calm,-0.2071143356882912
38,1,serene,-0.19552323514207748
38,1,calm,-0.2071143356882912
38,1,relax,-0.3062512460868594
38,1,zen,-0.07596092183253468
19,2,calm,-0.2071143356882912
19,2,good,-0.17530454275104512
19,2,relaxed,-0.340588967978229
19,2,engaged,0.0018936118555444629
19,2,happy,-0.169116453501516
19,2,calm,-0.2071143356882912
8,2,cool,-0.15221904373938983
8,2,useful,-0.13416109261797965
8,2,interesting,-0.018812625244389758
8,2,good,-0.17530454275104512
39,2,relaxed,-0.340588967978229
39,2,tune_out,-0.1123483317429071
39,2,tune_out,-0.1123483317429071
7,2,relaxed,-0.340588967978229
7,2,good,-0.17530454275104512
7,2,tune_out,-0.1123483317429071
7,2,interesting,-0.018812625244389758
3,3,acceptable,-0.1609066325756659
3,3,amusing,-0.0771726346512624
3,3,very relaxing,-0.30999099380702005
3,3,distracted,0.09467258930990774
3,3,perfect,-0.16657196363940963
32,1,relaxed,-0.340588967978229
32,1,relax,-0.3062512460868594
32,1,good,-0.17530454275104512
32,1,relax,-0.3062512460868594
17,2,good,-0.17530454275104512
17,2,comfortable,-0.37393460215662794
17,2,good,-0.17530454275104512
9,2,pleasant,-0.27480165077934127
9,2,relaxing,-0.3161567507190547
9,2,calm,-0.2071143356882912
9,2,relaxed,-0.340588967978229
9,2,liked,-0.21755312344119904
9,2,good,-0.17530454275104512
9,2,pleasant,-0.27480165077934127
22,2,calm,-0.2071143356882912
22,2,tiresome,0.06898461828302965
22,2,comforting,-0.28182789724052776
22,2,good,-0.17530454275104512
22,2,monotonous,-0.00955413112009663
22,2,comforting,-0.28182789724052776
22,2,calm,-0.2071143356882912
5,3,very_nervous,0.14444933795653178
5,3,extremely_nervous,0.20663147088222406
5,3,calm,-0.2071143356882912
5,3,less_anxious,-0.029799487318097624
5,3,comfortable,-0.37393460215662794
5,3,trust,-0.1251291012625006
5,3,calm,-0.2071143356882912
5,3,calmer,-0.2335094855783565
5,3,nervous,0.16189280248565494
1,3,very_nervous,0.14444933795653178
1,3,confident,-0.14215104747491658
1,3,nervous,0.16189280248565494
1,3,calm,-0.2071143356882912
1,3,bothered,0.14636905976035922
1,3,calm,-0.2071143356882912
1,3,less_anxious,-0.029799487318097624
20,1,relaxing,-0.3161567507190547
20,1,engaged,0.0018936118555444629
20,1,relaxing,-0.3161567507190547
20,1,positive,-0.10805296342881628
26,1,relaxing,-0.3161567507190547
26,1,calm,-0.2071143356882912
26,1,relaxing,-0.3161567507190547
26,1,effective,-0.08526451581239482
26,1,peaceful,-0.2468222582771388
26,1,distracted,0.09467258930990774
45,1,liked,-0.21755312344119904
45,1,like,-0.21755312344119904
30,1,relaxing,-0.3161567507190547
30,1,calm,-0.2071143356882912
30,1,useful,-0.13416109261797965
30,1,relaxing,-0.3161567507190547
36,2,calm,-0.2071143356882912
36,2,engaged,0.0018936118555444629
18,2,positive,-0.10805296342881628
31,3,excellent,-0.12482647636246774
31,3,engaged,0.0018936118555444629
27,3,good,-0.17530454275104512
27,3,peaceful,-0.2468222582771388
6,3,nervous,0.16189280248565494
6,3,confident,-0.14215104747491658
6,3,peaceful,-0.2468222582771388
4,1,relaxing,-0.3161567507190547
4,1,liked,-0.21755312344119904
11,2,nervous,0.16189280248565494
11,2,some_anxiety,0.19547763054139145
11,2,calm,-0.2071143356882912
11,2,tune_out,-0.1123483317429071
16,3,relaxed,-0.340588967978229
16,3,fine,-0.010856952401664677
21,2,valuable,-0.01855919976574183
21,2,calm,-0.2071143356882912
21,2,calm,-0.2071143356882912
21,2,pleasant,-0.27480165077934127
21,2,distracted,0.09467258930990774
21,2,helpful,-0.13407750312533798
21,2,relaxed,-0.340588967978229
10,2,calming,-0.24423614498102675
10,2,relaxing,-0.3161567507190547
10,2,anxiety,0.21810835073296117
10,2,trust,-0.1251291012625006
10,2,distracted,0.09467258930990774
10,2,engaged,0.0018936118555444629
41,1,nervous,0.16189280248565494
41,1,calm,-0.2071143356882912
41,1,calm,-0.2071143356882912
41,1,confident,-0.14215104747491658
41,1,distracted,0.09467258930990774
41,1,bit_bothered,0.09670945653346916
41,1,calm,-0.2071143356882912
41,1,liked,-0.21755312344119904
13,1,calm,-0.2071143356882912
35,2,good,-0.17530454275104512
35,2,repetitive,-0.07908695091041716
35,2,liked,-0.21755312344119904
