Participant,condition,mean_projection_fear_vs_calm,word_list
15,1,-0.13721889772891668,"['bit_worried', 'calm', 'relaxing', 'confident', 'positive']"
37,1,-0.152348954824231,"['nervous', 'good', 'calm', 'relaxing', 'easier', 'helpful', 'helpful']"
38,1,-0.1983928148876108,"['calm', 'serene', 'calm', 'relax', 'zen']"
19,2,-0.18289083729197134,"['calm', 'good', 'relaxed', 'engaged', 'happy', 'calm']"
8,2,-0.12012432608820109,"['cool', 'useful', 'interesting', 'good']"
39,2,-0.18842854382134774,"['relaxed', 'tune_out', 'tune_out']"
7,2,-0.16176361692914276,"['relaxed', 'good', 'tune_out', 'interesting']"
3,3,-0.12399392707269004,"['acceptable', 'amusing', 'very relaxing', 'distracted', 'perfect']"
32,1,-0.28209900072574823,"['relaxed', 'relax', 'good', 'relax']"
17,2,-0.24151456255290604,"['good', 'comfortable', 'good']"
9,2,-0.25804586030521454,"['pleasant', 'relaxing', 'calm', 'relaxed', 'liked', 'good', 'pleasant']"
22,2,-0.15625121734939285,"['calm', 'tiresome', 'comforting', 'good', 'monotonous', 'comforting', 'calm']"
5,3,-0.0737364151519727,"['very_nervous', 'extremely_nervous', 'calm', 'less_anxious', 'comfortable', 'trust', 'calm', 'calmer', 'nervous']"
1,3,-0.019066857995292955,"['very_nervous', 'confident', 'nervous', 'calm', 'bothered', 'calm', 'less_anxious']"
20,1,-0.1846182132528453,"['relaxing', 'engaged', 'relaxing', 'positive']"
26,1,-0.17947367031767106,"['relaxing', 'calm', 'relaxing', 'effective', 'peaceful', 'distracted']"
45,1,-0.21755312344119904,"['liked', 'like']"
30,1,-0.24339723243609504,"['relaxing', 'calm', 'useful', 'relaxing']"
36,2,-0.10261036191637338,"['calm', 'engaged']"
18,2,-0.10805296342881628,['positive']
31,3,-0.06146643225346164,"['excellent', 'engaged']"
27,3,-0.21106340051409195,"['good', 'peaceful']"
6,3,-0.07569350108880014,"['nervous', 'confident', 'peaceful']"
4,1,-0.26685493708012686,"['relaxing', 'liked']"
11,2,0.009476941398962022,"['nervous', 'some_anxiety', 'calm', 'tune_out']"
16,3,-0.17572296018994685,"['relaxed', 'fine']"
21,2,-0.1553690576736178,"['valuable', 'calm', 'calm', 'pleasant', 'distracted', 'helpful', 'relaxed']"
10,2,-0.061807907510694766,"['calming', 'relaxing', 'anxiety', 'trust', 'distracted', 'engaged']"
41,1,-0.07847154120649467,"['nervous', 'calm', 'calm', 'confident', 'distracted', 'bit_bothered', 'calm', 'liked']"
13,1,-0.2071143356882912,['calm']
35,2,-0.1573148723675538,"['good', 'repetitive', 'liked']"
