Participant,condition,word,projection_fear_vs_calm
15,1,bit_worried,0.1484747678041458
15,1,calm,-0.18677574396133423
15,1,relaxing,-0.20802736282348633
15,1,confident,-0.017781933769583702
15,1,positive,-0.05695080757141113
37,1,nervous,0.11652826517820358
37,1,good,-0.09667275846004486
37,1,calm,-0.18677574396133423
37,1,relaxing,-0.20802736282348633
37,1,easier,-0.15599389374256134
37,1,helpful,-0.12594379484653473
37,1,helpful,-0.12594379484653473
38,1,calm,-0.18677574396133423
38,1,serene,-0.08043384552001953
38,1,calm,-0.18677574396133423
38,1,relax,-0.2119152694940567
38,1,zen,0.061845872551202774
19,2,calm,-0.18677574396133423
19,2,good,-0.09667275846004486
19,2,relaxed,-0.19278109073638916
19,2,engaged,-0.010277440771460533
19,2,happy,-0.09430383890867233
19,2,calm,-0.18677574396133423
8,2,cool,0.010462329722940922
8,2,useful,-0.08655884116888046
8,2,interesting,0.057346995919942856
8,2,good,-0.09667275846004486
39,2,relaxed,-0.19278109073638916
39,2,tune_out,-0.03803372383117676
39,2,tune_out,-0.03803372383117676
7,2,relaxed,-0.19278109073638916
7,2,good,-0.09667275846004486
7,2,tune_out,-0.03803372383117676
7,2,interesting,0.057346995919942856
3,3,acceptable,0.041675399988889694
3,3,amusing,0.019589921459555626
3,3,very relaxing,-0.2315627634525299
3,3,distracted,0.15191419422626495
3,3,perfect,-0.07946120947599411
32,1,relaxed,-0.19278109073638916
32,1,relax,-0.2119152694940567
32,1,good,-0.09667275846004486
32,1,relax,-0.2119152694940567
17,2,good,-0.09667275846004486
17,2,comfortable,-0.20869311690330505
17,2,good,-0.09667275846004486
9,2,pleasant,-0.15847013890743256
9,2,relaxing,-0.20802736282348633
9,2,calm,-0.18677574396133423
9,2,relaxed,-0.19278109073638916
9,2,liked,-0.06764154136180878
9,2,good,-0.09667275846004486
9,2,pleasant,-0.15847013890743256
22,2,calm,-0.18677574396133423
22,2,tiresome,0.15155890583992004
22,2,comforting,-0.22878098487854004
22,2,good,-0.09667275846004486
22,2,monotonous,-0.00020623215823434293
22,2,comforting,-0.22878098487854004
22,2,calm,-0.18677574396133423
5,3,very_nervous,0.17915494740009308
5,3,extremely_nervous,0.23112507164478302
5,3,calm,-0.18677574396133423
5,3,less_anxious,0.16821052134037018
5,3,comfortable,-0.20869311690330505
5,3,trust,-0.07191583514213562
5,3,calm,-0.18677574396133423
5,3,calmer,-0.1634775698184967
5,3,nervous,0.11652826517820358
1,3,very_nervous,0.17915494740009308
1,3,confident,-0.017781933769583702
1,3,nervous,0.11652826517820358
1,3,calm,-0.18677574396133423
1,3,bothered,0.17661090195178986
1,3,calm,-0.18677574396133423
1,3,less_anxious,0.16821052134037018
20,1,relaxing,-0.20802736282348633
20,1,engaged,-0.010277440771460533
20,1,relaxing,-0.20802736282348633
20,1,positive,-0.05695080757141113
26,1,relaxing,-0.20802736282348633
26,1,calm,-0.18677574396133423
26,1,relaxing,-0.20802736282348633
26,1,effective,-0.061034198850393295
26,1,peaceful,-0.16605250537395477
26,1,distracted,0.15191419422626495
45,1,liked,-0.06764154136180878
45,1,like,-0.06764154136180878
30,1,relaxing,-0.20802736282348633
30,1,calm,-0.18677574396133423
30,1,useful,-0.08655884116888046
30,1,relaxing,-0.20802736282348633
36,2,calm,-0.18677574396133423
36,2,engaged,-0.010277440771460533
18,2,positive,-0.05695080757141113
31,3,excellent,-0.043160125613212585
31,3,engaged,-0.010277440771460533
27,3,good,-0.09667275846004486
27,3,peaceful,-0.16605250537395477
6,3,nervous,0.11652826517820358
6,3,confident,-0.017781933769583702
6,3,peaceful,-0.16605250537395477
4,1,relaxing,-0.20802736282348633
4,1,liked,-0.06764154136180878
11,2,nervous,0.11652826517820358
11,2,some_anxiety,0.18839046359062195
11,2,calm,-0.18677574396133423
11,2,tune_out,-0.03803372383117676
16,3,relaxed,-0.19278109073638916
16,3,fine,-0.03330707922577858
21,2,valuable,-0.024158060550689697
21,2,calm,-0.18677574396133423
21,2,calm,-0.18677574396133423
21,2,pleasant,-0.15847013890743256
21,2,distracted,0.15191419422626495
21,2,helpful,-0.12594379484653473
21,2,relaxed,-0.19278109073638916
10,2,calming,-0.19704993069171906
10,2,relaxing,-0.20802736282348633
10,2,anxiety,0.2130056470632553
10,2,trust,-0.07191583514213562
10,2,distracted,0.15191419422626495
10,2,engaged,-0.010277440771460533
41,1,nervous,0.11652826517820358
41,1,calm,-0.18677574396133423
41,1,calm,-0.18677574396133423
41,1,confident,-0.017781933769583702
41,1,distracted,0.15191419422626495
41,1,bit_bothered,0.1565568745136261
41,1,calm,-0.18677574396133423
41,1,liked,-0.06764154136180878
13,1,calm,-0.18677574396133423
35,2,good,-0.09667275846004486
35,2,repetitive,0.02667556330561638
35,2,liked,-0.06764154136180878
