Participant,condition,mean_projection_fear_vs_calm,word_list
15,1,-0.06421221606433392,"['bit_worried', 'calm', 'relaxing', 'confident', 'positive']"
37,1,-0.11183272621461324,"['nervous', 'good', 'calm', 'relaxing', 'easier', 'helpful', 'helpful']"
38,1,-0.12081094607710838,"['calm', 'serene', 'calm', 'relax', 'zen']"
19,2,-0.12793110279987255,"['calm', 'good', 'relaxed', 'engaged', 'happy', 'calm']"
8,2,-0.028855568496510386,"['cool', 'useful', 'interesting', 'good']"
39,2,-0.08961617946624756,"['relaxed', 'tune_out', 'tune_out']"
7,2,-0.06753514427691698,"['relaxed', 'good', 'tune_out', 'interesting']"
3,3,-0.019568891450762748,"['acceptable', 'amusing', 'very relaxing', 'distracted', 'perfect']"
32,1,-0.17832109704613686,"['relaxed', 'relax', 'good', 'relax']"
17,2,-0.1340128779411316,"['good', 'comfortable', 'good']"
9,2,-0.15269125359398977,"['pleasant', 'relaxing', 'calm', 'relaxed', 'liked', 'good', 'pleasant']"
22,2,-0.11091907749401539,"['calm', 'tiresome', 'comforting', 'good', 'monotonous', 'comforting', 'calm']"
5,3,-0.013624356024795108,"['very_nervous', 'extremely_nervous', 'calm', 'less_anxious', 'comfortable', 'trust', 'calm', 'calmer', 'nervous']"
1,3,0.0355958877397435,"['very_nervous', 'confident', 'nervous', 'calm', 'bothered', 'calm', 'less_anxious']"
20,1,-0.12082074349746108,"['relaxing', 'engaged', 'relaxing', 'positive']"
26,1,-0.113000496601065,"['relaxing', 'calm', 'relaxing', 'effective', 'peaceful', 'distracted']"
45,1,-0.06764154136180878,"['liked', 'like']"
30,1,-0.17234732769429684,"['relaxing', 'calm', 'useful', 'relaxing']"
36,2,-0.09852659236639738,"['calm', 'engaged']"
18,2,-0.05695080757141113,['positive']
31,3,-0.02671878319233656,"['excellent', 'engaged']"
27,3,-0.13136263191699982,"['good', 'peaceful']"
6,3,-0.022435391321778297,"['nervous', 'confident', 'peaceful']"
4,1,-0.13783445209264755,"['relaxing', 'liked']"
11,2,0.020027315244078636,"['nervous', 'some_anxiety', 'calm', 'tune_out']"
16,3,-0.11304408498108387,"['relaxed', 'fine']"
21,2,-0.10328433981963567,"['valuable', 'calm', 'calm', 'pleasant', 'distracted', 'helpful', 'relaxed']"
10,2,-0.020391788023213547,"['calming', 'relaxing', 'anxiety', 'trust', 'distracted', 'engaged']"
41,1,-0.027593921637162566,"['nervous', 'calm', 'calm', 'confident', 'distracted', 'bit_bothered', 'calm', 'liked']"
13,1,-0.18677574396133423,['calm']
35,2,-0.04587957883874575,"['good', 'repetitive', 'liked']"
