Participant,condition,word,projection_fear_vs_calm
15,1,little_worried,-26.6688175201416
15,1,calm,-29.131914138793945
15,1,relaxing,-28.1711368560791
15,1,confident,-28.554393768310547
15,1,positive,-28.951505661010742
38,1,calm,-29.131914138793945
38,1,serene,-28.391599655151367
38,1,calm,-29.131914138793945
38,1,relax,-28.384368896484375
38,1,zen,-29.205318450927734
19,2,calm,-29.131914138793945
19,2,good,-28.638559341430664
19,2,relaxed,-28.30524444580078
19,2,engaged,-29.09908103942871
19,2,happy,-28.329042434692383
19,2,calm,-29.131914138793945
8,2,cool,-29.309646606445312
8,2,useful,-29.238880157470703
8,2,interesting,-28.990114212036133
8,2,good,-28.638559341430664
7,2,relaxed,-28.30524444580078
7,2,good,-28.638559341430664
7,2,tune_out,-28.503860473632812
7,2,interesting,-28.990114212036133
3,3,acceptable,-28.843284606933594
3,3,amusing,-28.937416076660156
3,3,very relaxing,-28.269189834594727
3,3,distracted,-29.33464241027832
3,3,perfect,-28.581323623657227
32,1,relaxed,-28.30524444580078
32,1,relax,-28.384368896484375
32,1,good,-28.638559341430664
32,1,relax,-28.384368896484375
17,2,good,-28.638559341430664
17,2,comfortable,-28.42189598083496
17,2,good,-28.638559341430664
9,2,pleasant,-28.822725296020508
9,2,relaxing,-28.1711368560791
9,2,calm,-29.131914138793945
9,2,relaxed,-28.30524444580078
9,2,liked,-28.912797927856445
9,2,good,-28.638559341430664
9,2,pleasant,-28.822725296020508
22,2,calm,-29.131914138793945
22,2,tiresome,27.69730567932129
22,2,comforting,-28.412689208984375
22,2,good,-28.638559341430664
22,2,monotonous,25.243825912475586
22,2,comforting,-28.412689208984375
22,2,calm,-29.131914138793945
5,3,very_nervous,29.817211151123047
5,3,extremely_nervous,29.619035720825195
5,3,calm,-29.131914138793945
5,3,less_anxious,-26.848024368286133
5,3,comfortable,-28.42189598083496
5,3,trust,-29.30023193359375
5,3,calm,-29.131914138793945
5,3,calmer,-28.91961097717285
5,3,nervous,29.645111083984375
1,3,very_nervous,29.817211151123047
1,3,confident,-28.554393768310547
1,3,nervous,29.645111083984375
1,3,calm,-29.131914138793945
1,3,bothered,28.421964645385742
1,3,calm,-29.131914138793945
1,3,less_anxious,-26.848024368286133
20,1,relaxing,-28.1711368560791
20,1,engaged,-29.09908103942871
20,1,relaxing,-28.1711368560791
20,1,positive,-28.951505661010742
26,1,relaxing,-28.1711368560791
26,1,calm,-29.131914138793945
26,1,relaxing,-28.1711368560791
26,1,effective,-28.618803024291992
26,1,peaceful,-28.603017807006836
26,1,distracted,-29.33464241027832
45,1,liked,-28.912797927856445
45,1,like,-29.2514591217041
30,1,relaxing,-28.1711368560791
30,1,calm,-29.131914138793945
30,1,useful,-29.238880157470703
30,1,relaxing,-28.1711368560791
36,2,calm,-29.131914138793945
36,2,engaged,-29.09908103942871
18,2,positive,-28.951505661010742
31,3,excellent,-28.50551986694336
31,3,engaged,-29.09908103942871
27,3,good,-28.638559341430664
27,3,peaceful,-28.603017807006836
6,3,nervous,29.645111083984375
6,3,confident,-28.554393768310547
6,3,peaceful,-28.603017807006836
4,1,relaxing,-28.1711368560791
4,1,liked,-28.912797927856445
11,2,nervous,29.645111083984375
11,2,some_anxiety,28.901138305664062
11,2,calm,-29.131914138793945
11,2,tune_out,-28.503860473632812
16,3,relaxed,-28.30524444580078
16,3,fine,-27.800804138183594
21,2,valuable,-29.11249542236328
21,2,calm,-29.131914138793945
21,2,calm,-29.131914138793945
21,2,pleasant,-28.822725296020508
21,2,distracted,-29.33464241027832
21,2,helpful,-26.97407341003418
21,2,relaxed,-28.30524444580078
10,2,calming,-28.406360626220703
10,2,relaxing,-28.1711368560791
10,2,anxiety,29.79422378540039
10,2,trust,-29.30023193359375
10,2,distracted,-29.33464241027832
10,2,engaged,-29.09908103942871
13,1,calm,-29.131914138793945
35,2,good,-28.638559341430664
35,2,repetitive,28.064014434814453
35,2,liked,-28.912797927856445
