Participant,condition,mean_projection_fear_vs_calm,word_list
15,1,0.17295407950878144,"['bit_worried', 'calm', 'relaxing', 'confident', 'positive']"
37,1,0.20135786703654698,"['nervous', 'good', 'calm', 'relaxing', 'easier', 'helpful', 'helpful']"
38,1,0.3481476426124573,"['calm', 'serene', 'calm', 'relax', 'zen']"
19,2,0.2363092191517353,"['calm', 'good', 'relaxed', 'engaged', 'happy', 'calm']"
8,2,0.14461044035851955,"['cool', 'useful', 'interesting', 'good']"
39,2,0.10586935530106227,"['relaxed', 'tune_out', 'tune_out']"
7,2,0.14147416409105062,"['relaxed', 'good', 'tune_out', 'interesting']"
3,3,0.16658480167388917,"['acceptable', 'amusing', 'very relaxing', 'distracted', 'perfect']"
32,1,0.33808352798223495,"['relaxed', 'relax', 'good', 'relax']"
17,2,0.3058689733346303,"['good', 'comfortable', 'good']"
9,2,0.29680646530219484,"['pleasant', 'relaxing', 'calm', 'relaxed', 'liked', 'good', 'pleasant']"
22,2,0.19286573358944484,"['calm', 'tiresome', 'comforting', 'good', 'monotonous', 'comforting', 'calm']"
5,3,0.08587641931242412,"['very_nervous', 'extremely_nervous', 'calm', 'less_anxious', 'comfortable', 'trust', 'calm', 'calmer', 'nervous']"
1,3,-0.0006110402090208871,"['very_nervous', 'confident', 'nervous', 'calm', 'bothered', 'calm', 'less_anxious']"
20,1,0.2251132596284151,"['relaxing', 'engaged', 'relaxing', 'positive']"
26,1,0.2319248610486587,"['relaxing', 'calm', 'relaxing', 'effective', 'peaceful', 'distracted']"
45,1,0.15438689291477203,"['liked', 'like']"
30,1,0.32704510912299156,"['relaxing', 'calm', 'useful', 'relaxing']"
36,2,0.14545917883515358,"['calm', 'engaged']"
18,2,0.21043521165847778,['positive']
31,3,0.025301549583673477,"['excellent', 'engaged']"
27,3,0.3167840242385864,"['good', 'peaceful']"
6,3,0.06750164926052094,"['nervous', 'confident', 'peaceful']"
4,1,0.2717982158064842,"['relaxing', 'liked']"
11,2,-0.08224752824753523,"['nervous', 'some_anxiety', 'calm', 'tune_out']"
16,3,0.304361529648304,"['relaxed', 'fine']"
21,2,0.21252474228718451,"['valuable', 'calm', 'calm', 'pleasant', 'distracted', 'helpful', 'relaxed']"
10,2,0.048317667096853256,"['calming', 'relaxing', 'anxiety', 'trust', 'distracted', 'engaged']"
41,1,0.08251293003559113,"['nervous', 'calm', 'calm', 'confident', 'distracted', 'bit_bothered', 'calm', 'liked']"
13,1,0.37931960821151733,['calm']
35,2,0.09039900700251262,"['good', 'repetitive', 'liked']"
