word,condition,x,y,frequency,point_size,label_size,alpha,x_plot,y_plot,is_distress_extreme
nervous,1,-0.33205384,0.024510195,2,104.44444444444444,10.444444444444445,0.5888888888888889,-0.33205384,0.024510195,True
calm,1,0.37931964,-0.38537174,10,300.0,14.0,0.9,0.37931964,-0.38537174,False
relaxing,1,0.3892096,-0.21951523,9,275.55555555555554,13.555555555555555,0.8611111111111112,0.3892096,-0.21951523,False
liked,1,0.1543869,0.42595637,3,128.88888888888889,10.88888888888889,0.6277777777777778,0.1543869,0.42595637,False
relax,1,0.35838318,-0.20567703,3,128.88888888888889,10.88888888888889,0.6277777777777778,0.35838318,-0.20567703,False
confident,1,0.14001852,0.23004411,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.14001852,0.23004411,False
distracted,1,-0.20045944,0.045217704,2,104.44444444444444,10.444444444444445,0.5888888888888889,-0.20045944,0.045217704,False
good,1,0.23902783,0.35552645,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.23902783,0.35552645,False
helpful,1,0.2626127,0.3126577,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.2626127,0.3126577,False
positive,1,0.21043521,0.3617594,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.21043521,0.3617594,False
anxiety,2,-0.37940475,0.037175037,1,80.0,10.0,0.55,-0.37940475,0.037175037,True
nervous,2,-0.3320538,0.024510195,1,80.0,10.0,0.55,-0.3320538,0.024510195,True
some_anxiety,2,-0.3367899,0.047486,1,80.0,10.0,0.55,-0.3367899,0.047486,True
calm,2,0.37931964,-0.38537174,9,275.55555555555554,13.555555555555555,0.8611111111111112,0.37931964,-0.38537174,False
good,2,0.23902783,0.35552645,8,251.11111111111111,13.11111111111111,0.8222222222222222,0.23902783,0.35552645,False
relaxed,2,0.39653996,-0.14543442,5,177.77777777777777,11.777777777777779,0.7055555555555556,0.39653996,-0.14543442,False
tune_out,2,-0.039465945,-0.123489134,4,153.33333333333331,11.333333333333334,0.6666666666666667,-0.039465945,-0.123489134,False
engaged,2,-0.08840125,0.26927197,3,128.88888888888889,10.88888888888889,0.6277777777777778,-0.08840125,0.26927197,False
pleasant,2,0.25958073,0.24090165,3,128.88888888888889,10.88888888888889,0.6277777777777778,0.25958073,0.24090165,False
comforting,2,0.3812331,0.051043004,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.3812331,0.051043004,False
nervous,3,-0.33205384,0.024510195,3,128.88888888888889,10.88888888888889,0.6277777777777778,-0.33205384,0.024510195,True
very_nervous,3,-0.33913794,0.050483,2,104.44444444444444,10.444444444444445,0.5888888888888889,-0.33913794,0.050483,True
bothered,3,-0.3371163,0.109610125,1,80.0,10.0,0.55,-0.3371163,0.109610125,True
extremely_nervous,3,-0.37163776,0.08362536,1,80.0,10.0,0.55,-0.37163776,0.08362536,True
calm,3,0.37931964,-0.38537174,4,153.33333333333331,11.333333333333334,0.6666666666666667,0.37931964,-0.38537174,False
confident,3,0.14001852,0.23004411,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.14001852,0.23004411,False
less_anxious,3,0.10537308,-0.18015209,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.10537308,-0.18015209,False
peaceful,3,0.39454025,-0.22767189,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.39454025,-0.22767189,False
acceptable,3,0.26515076,0.04568356,1,80.0,10.0,0.55,0.26515076,0.04568356,False
amusing,3,0.15099183,0.26736474,1,80.0,10.0,0.55,0.15099183,0.26736474,False
