word,condition,x,y,frequency,point_size,label_size,alpha,x_plot,y_plot
acceptable,3,0.26515076,0.04568356,1,80.0,10.0,0.55,0.26515076,0.04568356
amusing,3,0.15099183,0.26736474,1,80.0,10.0,0.55,0.15099183,0.26736474
anxiety,2,-0.37940475,0.037175037,1,80.0,10.0,0.55,-0.37940475,0.037175037
bit_bothered,1,-0.23974754,0.036655713,1,80.0,10.0,0.55,-0.23974754,0.036655713
bit_worried,1,-0.2542125,-0.040150173,1,80.0,10.0,0.55,-0.2542125,-0.040150173
bothered,3,-0.3371163,0.109610125,1,80.0,10.0,0.55,-0.3371163,0.109610125
calm,1,0.37931964,-0.38537174,10,300.0,14.0,0.9,0.37931964,-0.38537174
calm,2,0.37931964,-0.38537174,9,275.55555555555554,13.555555555555555,0.8611111111111112,0.37931964,-0.38537174
calm,3,0.37931964,-0.38537174,4,153.33333333333331,11.333333333333334,0.6666666666666667,0.37931964,-0.38537174
calmer,3,0.31372982,-0.3683014,1,80.0,10.0,0.55,0.31372982,-0.3683014
calming,2,0.370538,-0.3849392,1,80.0,10.0,0.55,0.370538,-0.3849392
comfortable,2,0.43955138,-0.05886777,1,80.0,10.0,0.55,0.43955138,-0.05886777
comfortable,3,0.4395514,-0.05886777,1,80.0,10.0,0.55,0.4395514,-0.05886777
comforting,2,0.3812331,0.051043004,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.3812331,0.051043004
confident,1,0.14001852,0.23004411,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.14001852,0.23004411
confident,3,0.14001852,0.23004411,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.14001852,0.23004411
cool,2,0.21917737,0.03139884,1,80.0,10.0,0.55,0.21917737,0.03139884
distracted,1,-0.20045944,0.045217704,2,104.44444444444444,10.444444444444445,0.5888888888888889,-0.20045944,0.045217704
distracted,2,-0.20045944,0.045217704,2,104.44444444444444,10.444444444444445,0.5888888888888889,-0.20045944,0.045217704
distracted,3,-0.20045944,0.045217704,1,80.0,10.0,0.55,-0.20045944,0.045217704
easier,1,0.20877656,0.07131739,1,80.0,10.0,0.55,0.20877656,0.07131739
effective,1,0.039729666,0.29079673,1,80.0,10.0,0.55,0.039729666,0.29079673
engaged,1,-0.08840125,0.26927197,1,80.0,10.0,0.55,-0.08840125,0.26927197
engaged,2,-0.08840125,0.26927197,3,128.88888888888889,10.88888888888889,0.6277777777777778,-0.08840125,0.26927197
engaged,3,-0.08840125,0.26927197,1,80.0,10.0,0.55,-0.08840125,0.26927197
excellent,3,0.13900438,0.38648817,1,80.0,10.0,0.55,0.13900438,0.38648817
extremely_nervous,3,-0.37163776,0.08362536,1,80.0,10.0,0.55,-0.37163776,0.08362536
fine,3,0.2121831,0.23436761,1,80.0,10.0,0.55,0.2121831,0.23436761
good,1,0.23902783,0.35552645,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.23902783,0.35552645
good,2,0.23902783,0.35552645,8,251.11111111111111,13.11111111111111,0.8222222222222222,0.23902783,0.35552645
good,3,0.23902783,0.35552645,1,80.0,10.0,0.55,0.23902783,0.35552645
happy,2,0.112049595,0.3013158,1,80.0,10.0,0.55,0.112049595,0.3013158
helpful,1,0.2626127,0.3126577,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.2626127,0.3126577
helpful,2,0.2626127,0.3126577,1,80.0,10.0,0.55,0.2626127,0.3126577
interesting,2,-0.030205153,0.3056783,2,104.44444444444444,10.444444444444445,0.5888888888888889,-0.030205153,0.3056783
less_anxious,3,0.10537308,-0.18015209,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.10537308,-0.18015209
like,1,0.1543869,0.42595637,1,80.0,10.0,0.55,0.1543869,0.42595637
liked,1,0.1543869,0.42595637,3,128.88888888888889,10.88888888888889,0.6277777777777778,0.1543869,0.42595637
liked,2,0.1543869,0.42595637,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.1543869,0.42595637
monotonous,2,-0.14575164,-0.13944541,1,80.0,10.0,0.55,-0.14575164,-0.13944541
nervous,1,-0.33205384,0.024510195,2,104.44444444444444,10.444444444444445,0.5888888888888889,-0.33205384,0.024510195
nervous,2,-0.3320538,0.024510195,1,80.0,10.0,0.55,-0.3320538,0.024510195
nervous,3,-0.33205384,0.024510195,3,128.88888888888889,10.88888888888889,0.6277777777777778,-0.33205384,0.024510195
peaceful,1,0.39454025,-0.22767189,1,80.0,10.0,0.55,0.39454025,-0.22767189
peaceful,3,0.39454025,-0.22767189,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.39454025,-0.22767189
perfect,3,0.2228177,0.21578218,1,80.0,10.0,0.55,0.2228177,0.21578218
pleasant,2,0.25958073,0.24090165,3,128.88888888888889,10.88888888888889,0.6277777777777778,0.25958073,0.24090165
positive,1,0.21043521,0.3617594,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.21043521,0.3617594
positive,2,0.21043521,0.3617594,1,80.0,10.0,0.55,0.21043521,0.3617594
relax,1,0.35838318,-0.20567703,3,128.88888888888889,10.88888888888889,0.6277777777777778,0.35838318,-0.20567703
relaxed,1,0.39653996,-0.14543442,1,80.0,10.0,0.55,0.39653996,-0.14543442
relaxed,2,0.39653996,-0.14543442,5,177.77777777777777,11.777777777777779,0.7055555555555556,0.39653996,-0.14543442
relaxed,3,0.39653996,-0.14543442,1,80.0,10.0,0.55,0.39653996,-0.14543442
relaxing,1,0.3892096,-0.21951523,9,275.55555555555554,13.555555555555555,0.8611111111111112,0.3892096,-0.21951523
relaxing,2,0.3892096,-0.21951522,2,104.44444444444444,10.444444444444445,0.5888888888888889,0.3892096,-0.21951522
repetitive,2,-0.12221767,0.052932277,1,80.0,10.0,0.55,-0.12221767,0.052932277
serene,1,0.38153154,-0.25095785,1,80.0,10.0,0.55,0.38153154,-0.25095785
some_anxiety,2,-0.3367899,0.047486,1,80.0,10.0,0.55,-0.3367899,0.047486
tiresome,2,-0.2643214,-0.005418587,1,80.0,10.0,0.55,-0.2643214,-0.005418587
trust,2,0.1984239,0.17048466,1,80.0,10.0,0.55,0.1984239,0.17048466
trust,3,0.1984239,0.17048466,1,80.0,10.0,0.55,0.1984239,0.17048466
tune_out,2,-0.039465945,-0.123489134,4,153.33333333333331,11.333333333333334,0.6666666666666667,-0.039465945,-0.123489134
useful,1,0.15044175,0.30470416,1,80.0,10.0,0.55,0.15044175,0.30470416
useful,2,0.15044175,0.30470416,1,80.0,10.0,0.55,0.15044175,0.30470416
valuable,2,0.01076003,0.3352411,1,80.0,10.0,0.55,0.01076003,0.3352411
very relaxing,3,0.39442316,-0.25375953,1,80.0,10.0,0.55,0.39442316,-0.25375953
very_nervous,3,-0.33913794,0.050483,2,104.44444444444444,10.444444444444445,0.5888888888888889,-0.33913794,0.050483
zen,1,0.24218428,-0.15292284,1,80.0,10.0,0.55,0.24218428,-0.15292284
