Participant,condition,word,projection_fear_vs_calm
15,1,little_worried,-26.472551345825195
15,1,calm,-29.15308952331543
15,1,relaxing,-29.06293296813965
15,1,confident,-29.252717971801758
15,1,positive,-29.247854232788086
38,1,calm,-29.15308952331543
38,1,serene,-29.1958065032959
38,1,calm,-29.15308952331543
38,1,relax,-29.195587158203125
38,1,zen,-28.108509063720703
19,2,calm,-29.15308952331543
19,2,good,-29.270687103271484
19,2,relaxed,-29.15359878540039
19,2,engaged,-29.173307418823242
19,2,happy,-29.164581298828125
19,2,calm,-29.15308952331543
8,2,cool,-28.712316513061523
8,2,useful,-29.015506744384766
8,2,interesting,-27.617279052734375
8,2,good,-29.270687103271484
7,2,relaxed,-29.15359878540039
7,2,good,-29.270687103271484
7,2,tune_out,-29.238080978393555
7,2,interesting,-27.617279052734375
3,3,acceptable,-27.328771591186523
3,3,amusing,-29.24802589416504
3,3,very relaxing,-29.131359100341797
3,3,distracted,-28.599044799804688
3,3,perfect,-29.257909774780273
32,1,relaxed,-29.15359878540039
32,1,relax,-29.195587158203125
32,1,good,-29.270687103271484
32,1,relax,-29.195587158203125
17,2,good,-29.270687103271484
17,2,comfortable,-29.211795806884766
17,2,good,-29.270687103271484
9,2,pleasant,-29.27023696899414
9,2,relaxing,-29.06293296813965
9,2,calm,-29.15308952331543
9,2,relaxed,-29.15359878540039
9,2,liked,-29.249343872070312
9,2,good,-29.270687103271484
9,2,pleasant,-29.27023696899414
22,2,calm,-29.15308952331543
22,2,tiresome,29.02815055847168
22,2,comforting,-29.205909729003906
22,2,good,-29.270687103271484
22,2,monotonous,27.500961303710938
22,2,comforting,-29.205909729003906
22,2,calm,-29.15308952331543
5,3,very_nervous,29.335046768188477
5,3,extremely_nervous,29.37112045288086
5,3,calm,-29.15308952331543
5,3,less_anxious,-28.37105369567871
5,3,comfortable,-29.211795806884766
5,3,trust,-28.89757537841797
5,3,calm,-29.15308952331543
5,3,calmer,-29.254465103149414
5,3,nervous,28.999744415283203
1,3,very_nervous,29.335046768188477
1,3,confident,-29.252717971801758
1,3,nervous,28.999744415283203
1,3,calm,-29.15308952331543
1,3,bothered,29.369123458862305
1,3,calm,-29.15308952331543
1,3,less_anxious,-28.37105369567871
20,1,relaxing,-29.06293296813965
20,1,engaged,-29.173307418823242
20,1,relaxing,-29.06293296813965
20,1,positive,-29.247854232788086
26,1,relaxing,-29.06293296813965
26,1,calm,-29.15308952331543
26,1,relaxing,-29.06293296813965
26,1,effective,-29.26609992980957
26,1,peaceful,-29.262117385864258
26,1,distracted,-28.599044799804688
45,1,liked,-29.249343872070312
45,1,like,-28.98299789428711
30,1,relaxing,-29.06293296813965
30,1,calm,-29.15308952331543
30,1,useful,-29.015506744384766
30,1,relaxing,-29.06293296813965
36,2,calm,-29.15308952331543
36,2,engaged,-29.173307418823242
18,2,positive,-29.247854232788086
31,3,excellent,-29.236495971679688
31,3,engaged,-29.173307418823242
27,3,good,-29.270687103271484
27,3,peaceful,-29.262117385864258
6,3,nervous,28.999744415283203
6,3,confident,-29.252717971801758
6,3,peaceful,-29.262117385864258
4,1,relaxing,-29.06293296813965
4,1,liked,-29.249343872070312
11,2,nervous,28.999744415283203
11,2,some_anxiety,27.28668785095215
11,2,calm,-29.15308952331543
11,2,tune_out,-29.238080978393555
16,3,relaxed,-29.15359878540039
16,3,fine,-26.035446166992188
21,2,valuable,-29.1645565032959
21,2,calm,-29.15308952331543
21,2,calm,-29.15308952331543
21,2,pleasant,-29.27023696899414
21,2,distracted,-28.599044799804688
21,2,helpful,-25.235923767089844
21,2,relaxed,-29.15359878540039
10,2,calming,-29.204208374023438
10,2,relaxing,-29.06293296813965
10,2,anxiety,28.203062057495117
10,2,trust,-28.89757537841797
10,2,distracted,-28.599044799804688
10,2,engaged,-29.173307418823242
13,1,calm,-29.15308952331543
35,2,good,-29.270687103271484
35,2,repetitive,29.20983123779297
35,2,liked,-29.249343872070312
