Participant,condition,mean_projection_fear_vs_calm,word_list
15,1,-28.637829208374022,"['little_worried', 'calm', 'relaxing', 'confident', 'positive']"
38,1,-28.961216354370116,"['calm', 'serene', 'calm', 'relax', 'zen']"
19,2,-29.178058942159016,"['calm', 'good', 'relaxed', 'engaged', 'happy', 'calm']"
8,2,-28.653947353363037,"['cool', 'useful', 'interesting', 'good']"
7,2,-28.81991147994995,"['relaxed', 'good', 'tune_out', 'interesting']"
3,3,-28.713022232055664,"['acceptable', 'amusing', 'very relaxing', 'distracted', 'perfect']"
32,1,-29.20386505126953,"['relaxed', 'relax', 'good', 'relax']"
17,2,-29.251056671142578,"['good', 'comfortable', 'good']"
9,2,-29.204303741455078,"['pleasant', 'relaxing', 'calm', 'relaxed', 'liked', 'good', 'pleasant']"
22,2,-12.779939106532506,"['calm', 'tiresome', 'comforting', 'good', 'monotonous', 'comforting', 'calm']"
5,3,-9.592795266045464,"['very_nervous', 'extremely_nervous', 'calm', 'less_anxious', 'comfortable', 'trust', 'calm', 'calmer', 'nervous']"
1,3,-4.032290867396763,"['very_nervous', 'confident', 'nervous', 'calm', 'bothered', 'calm', 'less_anxious']"
20,1,-29.136756896972656,"['relaxing', 'engaged', 'relaxing', 'positive']"
26,1,-29.067702929178875,"['relaxing', 'calm', 'relaxing', 'effective', 'peaceful', 'distracted']"
45,1,-29.11617088317871,"['liked', 'like']"
30,1,-29.073615550994873,"['relaxing', 'calm', 'useful', 'relaxing']"
36,2,-29.163198471069336,"['calm', 'engaged']"
18,2,-29.247854232788086,['positive']
31,3,-29.204901695251465,"['excellent', 'engaged']"
27,3,-29.26640224456787,"['good', 'peaceful']"
6,3,-9.838363647460938,"['nervous', 'confident', 'peaceful']"
4,1,-29.15613842010498,"['relaxing', 'liked']"
11,2,-0.5261845588684082,"['nervous', 'some_anxiety', 'calm', 'tune_out']"
16,3,-27.59452247619629,"['relaxed', 'fine']"
21,2,-28.53279141017369,"['valuable', 'calm', 'calm', 'pleasant', 'distracted', 'helpful', 'relaxed']"
10,2,-19.455667813618977,"['calming', 'relaxing', 'anxiety', 'trust', 'distracted', 'engaged']"
13,1,-29.15308952331543,['calm']
35,2,-9.770066579182943,"['good', 'repetitive', 'liked']"
