word,condition,x,y,frequency,point_size,label_size,alpha,x_plot,y_plot
acceptable,3,-27.328772,-12.363401,1,80.0,7.0,0.55,-27.388771591186522,-12.467324461418
amusing,3,-29.248028,-0.40416336,1,80.0,7.0,0.55,-29.30802780151367,-0.5080864090498357
anxiety,2,28.203062,7.749714,1,80.0,7.0,0.55,28.14306205749512,7.85363694615921
bothered,3,29.369123,2.3773737,1,80.0,7.0,0.55,29.309123458862306,2.2734506469194025
calm,1,-29.153086,-2.5336828,6,217.5,9.5,0.76875,-29.033085708618163,-2.5336828231811523
calm,2,-29.153086,-2.5336828,9,300.0,11.0,0.9,-29.213085708618163,-2.4297597747270196
calm,3,-29.153088,-2.5336833,4,162.5,8.5,0.68125,-29.213087615966796,-2.6376063484724432
calmer,3,-29.254465,-0.20877992,1,80.0,7.0,0.55,-29.314465103149413,-0.3127029646213918
calming,2,-29.204208,3.9218767,1,80.0,7.0,0.55,-29.264208374023436,4.025799717384186
comfortable,2,-29.211796,3.8463767,1,80.0,7.0,0.55,-29.271795806884764,3.9502997059400946
comfortable,3,-29.211796,3.8463767,1,80.0,7.0,0.55,-29.271795806884764,3.742453609031829
comforting,2,-29.20591,3.8727648,2,107.5,7.5,0.59375,-29.265909729003905,3.9766878742750555
confident,1,-29.25272,2.867617,1,80.0,7.0,0.55,-29.13271987915039,2.867616891860962
confident,3,-29.25272,2.867617,2,107.5,7.5,0.59375,-29.31271987915039,2.763693843406829
cool,2,-28.712317,-6.7131143,1,80.0,7.0,0.55,-28.772316513061522,-6.609191213173065
distracted,1,-28.599043,-7.534859,1,80.0,7.0,0.55,-28.479042892456054,-7.5348591804504395
distracted,2,-28.599043,-7.5348597,2,107.5,7.5,0.59375,-28.659042892456053,-7.430936608833465
distracted,3,-28.599043,-7.534859,1,80.0,7.0,0.55,-28.659042892456053,-7.638782228904572
effective,1,-29.2661,2.3988307,1,80.0,7.0,0.55,-29.14609992980957,2.3988306522369385
engaged,1,-29.173311,-2.163873,1,80.0,7.0,0.55,-29.053311233520507,-2.1638729572296143
engaged,2,-29.173311,-2.163873,3,135.0,8.0,0.6375000000000001,-29.233311233520507,-2.0599499087754816
engaged,3,-29.173311,-2.163873,1,80.0,7.0,0.55,-29.233311233520507,-2.267796005683747
excellent,3,-29.2365,3.1761878,1,80.0,7.0,0.55,-29.296499786376952,3.0722647052232355
extremely_nervous,3,29.37112,2.3852594,1,80.0,7.0,0.55,29.31112045288086,2.2813363414231866
fine,3,-26.035446,-14.591058,1,80.0,7.0,0.55,-26.095446166992186,-14.694980825858918
good,1,-29.270687,2.2599597,1,80.0,7.0,0.55,-29.150687103271483,2.2599596977233887
good,2,-29.270687,2.2599597,8,272.5,10.5,0.85625,-29.330687103271483,2.3638827461775214
good,3,-29.270687,2.2599597,1,80.0,7.0,0.55,-29.330687103271483,2.156036649269256
happy,2,-29.164581,4.452207,1,80.0,7.0,0.55,-29.224581298828124,4.556130136924591
helpful,2,-25.235924,-15.10393,1,80.0,7.0,0.55,-25.295923767089842,-15.000007424873504
interesting,2,-27.61728,-11.547608,2,107.5,7.5,0.59375,-27.677279052734374,-11.443685327095183
less_anxious,3,-28.371054,-8.861379,2,107.5,7.5,0.59375,-28.43105369567871,-8.965301718192903
like,1,-28.982998,-4.5235124,1,80.0,7.0,0.55,-28.86299789428711,-4.523512363433838
liked,1,-29.249344,-0.21278363,2,107.5,7.5,0.59375,-29.12934387207031,-0.21278363466262817
liked,2,-29.249344,-0.21278363,2,107.5,7.5,0.59375,-29.30934387207031,-0.10886058620849554
little_worried,1,-26.472551,-14.021352,1,80.0,7.0,0.55,-26.352551345825194,-14.02135181427002
monotonous,2,27.500963,-1.0375557,1,80.0,7.0,0.55,27.44096321105957,-0.9336326461259454
nervous,2,28.999744,5.760106,1,80.0,7.0,0.55,28.939744415283204,5.864029135185089
nervous,3,28.999746,5.7601066,3,135.0,8.0,0.6375000000000001,28.939746322631837,5.656183515113983
peaceful,1,-29.262117,2.4619129,1,80.0,7.0,0.55,-29.142117385864257,2.4619128704071045
peaceful,3,-29.262117,2.4619129,2,107.5,7.5,0.59375,-29.322117385864257,2.357989821952972
perfect,3,-29.25791,2.6778212,1,80.0,7.0,0.55,-29.317909774780272,2.5738981109086603
pleasant,2,-29.270239,0.6643113,3,135.0,8.0,0.6375000000000001,-29.330238876342772,0.7682343382414252
positive,1,-29.247854,-0.4870781,2,107.5,7.5,0.59375,-29.127854232788085,-0.48707810044288635
positive,2,-29.247854,-0.4870781,1,80.0,7.0,0.55,-29.307854232788085,-0.3831550519887537
relax,1,-29.195585,4.126052,3,135.0,8.0,0.6375000000000001,-29.07558525085449,4.126051902770996
relaxed,1,-29.153599,4.563892,1,80.0,7.0,0.55,-29.03359878540039,4.563891887664795
relaxed,2,-29.153599,4.563892,4,162.5,8.5,0.68125,-29.21359878540039,4.667814936118927
relaxed,3,-29.153599,4.563892,1,80.0,7.0,0.55,-29.21359878540039,4.459968839210663
relaxing,1,-29.062933,5.303597,8,272.5,10.5,0.85625,-28.942932968139647,5.3035969734191895
relaxing,2,-29.062933,5.303597,2,107.5,7.5,0.59375,-29.122932968139647,5.407520021873322
repetitive,2,29.209831,1.8887553,1,80.0,7.0,0.55,29.14983123779297,1.9926783699568182
serene,1,-29.195807,3.9657526,1,80.0,7.0,0.55,-29.075806503295897,3.965752601623535
some_anxiety,2,27.286684,8.593069,1,80.0,7.0,0.55,27.226684036254884,8.696992124992219
tiresome,2,29.028152,1.4112912,1,80.0,7.0,0.55,28.968152465820314,1.5152142900999457
